state,election_year,jurisdiction_name,comparison_rep,comparison_dem,comparison_other
NY,2024,Albany County,49505,95231,805
NY,2024,Allegany County,13628,6200,80
NY,2024,Broome County,40357,47049,472
NY,2024,Cattaraugus County,20775,12172,139
NY,2024,Cayuga County,18973,16352,151
NY,2024,Chautauqua County,31622,23438,191
NY,2024,Chemung County,20478,15835,145
NY,2024,Chenango County,13050,8653,102
NY,2024,Clinton County,16109,18614,143
NY,2024,Columbia County,13890,21345,177
NY,2024,Cortland County,10941,10469,124
NY,2024,Delaware County,12620,9852,111
NY,2024,Dutchess County,65871,82986,633
NY,2024,Erie County,187547,252782,1926
NY,2024,Essex County,8351,10032,65
NY,2024,Franklin County,9481,9357,64
NY,2024,Fulton County,14449,8291,85
NY,2024,Genesee County,17871,9736,113
NY,2024,Greene County,13435,11133,123
NY,2024,Hamilton County,2053,1283,13
NY,2024,Herkimer County,17766,9671,109
NY,2024,Jefferson County,23477,17511,127
NY,2024,Lewis County,8099,4163,57
NY,2024,Livingston County,17370,12830,127
NY,2024,Madison County,17727,15138,157
NY,2024,Monroe County,140764,213432,1661
NY,2024,Montgomery County,11383,8263,82
NY,2024,Nassau County,345339,344820,2216
NY,2024,Niagara County,53851,44641,409
NY,2024,Oneida County,54056,41860,429
NY,2024,Onondaga County,88547,134707,1073
NY,2024,Ontario County,28924,29924,226
NY,2024,Orange County,78309,89114,762
NY,2024,Orleans County,11568,5480,54
NY,2024,Oswego County,31216,21036,250
NY,2024,Otsego County,13956,13345,198
NY,2024,Putnam County,29310,24920,202
NY,2024,Rensselaer County,35065,41950,417
NY,2024,Rockland County,64082,72003,397
NY,2024,St. Lawrence County,22727,19322,155
NY,2024,Saratoga County,59574,68479,582
NY,2024,Schenectady County,28681,40626,416
NY,2024,Schoharie County,9495,6156,79
NY,2024,Schuyler County,5440,3815,33
NY,2024,Seneca County,7769,6803,53
NY,2024,Steuben County,28367,15857,117
NY,2024,Suffolk County,389431,348948,2273
NY,2024,Sullivan County,17122,15755,148
NY,2024,Tioga County,14036,9755,86
NY,2024,Tompkins County,10738,34484,289
NY,2024,Ulster County,35889,60364,565
NY,2024,Warren County,16728,18162,139
NY,2024,Washington County,15221,12539,132
NY,2024,Wayne County,25686,17647,149
NY,2024,Westchester County,154287,287607,1899
NY,2024,Wyoming County,13268,5330,79
NY,2024,Yates County,5787,4471,36
NY,2024,Bronx County,80569,260993,2459
NY,2024,Kings County,194631,608071,5631
NY,2024,New York County,107064,525316,3872
NY,2024,Queens County,232407,451360,4565
NY,2024,Richmond County,119958,74191,1049
