state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,dem_dropoff,rep_dropoff
NY,2024,Albany County,ALBANY WARD 1 ED 1,121,40,0,161,125,33,0,,
NY,2024,Albany County,ALBANY WARD 1 ED 2,478,112,0,590,468,91,1,,
NY,2024,Albany County,ALBANY WARD 1 ED 3,358,75,0,433,364,62,0,,
NY,2024,Albany County,ALBANY WARD 1 ED 4,276,26,0,302,271,19,1,,
NY,2024,Albany County,ALBANY WARD 1 ED 5,266,80,0,346,274,59,3,,
NY,2024,Albany County,ALBANY WARD 1 ED 6,275,40,0,315,261,35,2,,
NY,2024,Albany County,ALBANY WARD 10 ED 1,42,12,0,54,39,12,3,,
NY,2024,Albany County,ALBANY WARD 10 ED 2,103,11,0,114,106,9,0,,
NY,2024,Albany County,ALBANY WARD 10 ED 3,137,31,0,168,141,23,0,,
NY,2024,Albany County,ALBANY WARD 10 ED 4,299,66,0,365,293,63,1,,
NY,2024,Albany County,ALBANY WARD 10 ED 5,401,65,0,466,376,61,3,,
NY,2024,Albany County,ALBANY WARD 10 ED 6,261,45,0,306,256,41,4,,
NY,2024,Albany County,ALBANY WARD 10 ED 7,107,24,0,131,107,22,0,,
NY,2024,Albany County,ALBANY WARD 11 ED 1,88,26,0,114,86,24,0,,
NY,2024,Albany County,ALBANY WARD 11 ED 2,54,11,0,65,55,7,2,,
NY,2024,Albany County,ALBANY WARD 11 ED 3,196,43,0,239,196,34,3,,
NY,2024,Albany County,ALBANY WARD 11 ED 4,366,138,0,504,360,121,5,,
NY,2024,Albany County,ALBANY WARD 11 ED 5,203,42,0,245,194,32,4,,
NY,2024,Albany County,ALBANY WARD 11 ED 6,47,10,0,57,41,9,1,,
NY,2024,Albany County,ALBANY WARD 12 ED 1,239,94,0,333,249,76,3,,
NY,2024,Albany County,ALBANY WARD 12 ED 2,156,68,0,224,159,59,1,,
NY,2024,Albany County,ALBANY WARD 12 ED 3,862,297,0,1159,876,268,4,,
NY,2024,Albany County,ALBANY WARD 12 ED 4,13,11,0,24,15,8,0,,
NY,2024,Albany County,ALBANY WARD 12 ED 5,362,63,0,425,344,60,3,,
NY,2024,Albany County,ALBANY WARD 12 ED 6,71,22,0,93,71,18,2,,
NY,2024,Albany County,ALBANY WARD 13 ED 1,21,2,0,23,22,1,0,,
NY,2024,Albany County,ALBANY WARD 13 ED 2,459,118,0,577,460,112,5,,
NY,2024,Albany County,ALBANY WARD 13 ED 3,398,110,0,508,403,105,2,,
NY,2024,Albany County,ALBANY WARD 13 ED 4,804,176,0,980,805,159,3,,
NY,2024,Albany County,ALBANY WARD 13 ED 5,279,66,0,345,281,68,3,,
NY,2024,Albany County,ALBANY WARD 14 ED 1,185,27,0,212,182,23,1,,
NY,2024,Albany County,ALBANY WARD 14 ED 2,382,171,0,553,396,141,3,,
NY,2024,Albany County,ALBANY WARD 14 ED 3,444,131,0,575,448,114,0,,
NY,2024,Albany County,ALBANY WARD 14 ED 4,307,80,0,387,308,69,5,,
NY,2024,Albany County,ALBANY WARD 14 ED 5,559,135,0,694,577,128,0,,
NY,2024,Albany County,ALBANY WARD 14 ED 6,428,78,0,506,429,74,1,,
NY,2024,Albany County,ALBANY WARD 14 ED 7,389,117,0,506,398,106,3,,
NY,2024,Albany County,ALBANY WARD 14 ED 8,392,95,0,487,389,96,2,,
NY,2024,Albany County,ALBANY WARD 15 ED 1,266,43,0,309,238,40,2,,
NY,2024,Albany County,ALBANY WARD 15 ED 2,306,115,0,421,318,96,1,,
NY,2024,Albany County,ALBANY WARD 15 ED 3,309,137,0,446,326,110,2,,
NY,2024,Albany County,ALBANY WARD 15 ED 4,311,79,0,390,314,75,0,,
NY,2024,Albany County,ALBANY WARD 15 ED 5,356,145,0,501,372,122,4,,
NY,2024,Albany County,ALBANY WARD 2 ED 1,94,26,0,120,99,16,3,,
NY,2024,Albany County,ALBANY WARD 2 ED 2,233,44,0,277,220,35,2,,
NY,2024,Albany County,ALBANY WARD 2 ED 3,384,56,0,440,377,47,5,,
NY,2024,Albany County,ALBANY WARD 2 ED 4,102,18,0,120,104,17,1,,
NY,2024,Albany County,ALBANY WARD 2 ED 5,287,49,0,336,275,30,1,,
NY,2024,Albany County,ALBANY WARD 2 ED 6,183,38,0,221,175,37,1,,
NY,2024,Albany County,ALBANY WARD 3 ED 1,166,29,0,195,165,30,2,,
NY,2024,Albany County,ALBANY WARD 3 ED 2,206,58,0,264,201,47,1,,
NY,2024,Albany County,ALBANY WARD 3 ED 3,245,42,0,287,235,36,6,,
NY,2024,Albany County,ALBANY WARD 3 ED 4,457,71,0,528,440,53,4,,
NY,2024,Albany County,ALBANY WARD 4 ED 1,294,44,0,338,294,41,2,,
NY,2024,Albany County,ALBANY WARD 4 ED 2,148,15,0,163,140,9,1,,
NY,2024,Albany County,ALBANY WARD 4 ED 3,457,134,0,591,452,121,3,,
NY,2024,Albany County,ALBANY WARD 4 ED 4,117,17,0,134,116,14,1,,
NY,2024,Albany County,ALBANY WARD 4 ED 5,689,138,0,827,678,107,6,,
NY,2024,Albany County,ALBANY WARD 4 ED 6,118,18,0,136,112,15,0,,
NY,2024,Albany County,ALBANY WARD 5 ED 1,279,25,0,304,262,19,3,,
NY,2024,Albany County,ALBANY WARD 5 ED 2,240,46,0,286,232,33,3,,
NY,2024,Albany County,ALBANY WARD 5 ED 3,404,42,0,446,384,34,6,,
NY,2024,Albany County,ALBANY WARD 5 ED 4,153,35,0,188,143,28,5,,
NY,2024,Albany County,ALBANY WARD 6 ED 1,430,63,0,493,430,59,6,,
NY,2024,Albany County,ALBANY WARD 6 ED 2,316,31,0,347,324,30,6,,
NY,2024,Albany County,ALBANY WARD 6 ED 3,355,44,0,399,346,45,3,,
NY,2024,Albany County,ALBANY WARD 6 ED 4,470,80,0,550,464,65,10,,
NY,2024,Albany County,ALBANY WARD 6 ED 5,446,53,0,499,461,48,3,,
NY,2024,Albany County,ALBANY WARD 6 ED 6,156,15,0,171,155,14,2,,
NY,2024,Albany County,ALBANY WARD 7 ED 1,128,7,0,135,127,7,1,,
NY,2024,Albany County,ALBANY WARD 7 ED 2,181,42,0,223,184,34,1,,
NY,2024,Albany County,ALBANY WARD 7 ED 3,460,104,0,564,439,82,4,,
