state,electionYear,jurisdictionCode,jurisdictionName,level,vendor,systemName,equipmentType,usage,paperRecord,standardSystem,accessibleSystem,absenteeSystem,pollBookSystem,tabulation,registeredVoters,precincts,pollingPlaces,sourceGranularity,uniformityWarningRequired,uniformityNote,configurationSignals,sourceDocumentId,sourceUrl,caveat
OK,2024,OK-001,Adair County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",10087,17,17,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-003,Alfalfa County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",2812,8,8,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-005,Atoka County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",7276,13,13,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-007,Beaver County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",2948,7,7,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-009,Beckham County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",10496,12,12,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-011,Blaine County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",5075,9,9,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-013,Bryan County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",25699,25,25,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-015,Caddo County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",12859,14,14,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-017,Canadian County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",95505,60,60,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
OK,2024,OK-019,Carter County,county,Hart InterCivic,Jurisdiction does not use BMDs,"Optical Scan, accessible interface records votes directly into optical scan tabulation",county_context,hand_marked_paper,Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT,DREs without VVPAT for all voters,Batch-Fed Optical Scanners,Paper Poll Book,"Optical Scan, accessible interface records votes directly into optical scan tabulation",27446,28,28,county,true,"Verifier row is a county-level summary. tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation; polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","tabulation reports multiple values: Optical Scan, accessible interface records votes directly into optical scan tabulation | polling-place system reports multiple values: Hand marked paper ballots; Direct recording assistive interface for accessibility without VVPAT | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-ok-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/40,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
