state,election_year,jurisdiction_name,jurisdiction_tag,local_unit,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url,notes
OK,2016,Adair County,county:40001,ADAIR,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,1382,4787,344,6513,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Alfalfa County,county:40003,ALFALFA,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,216,1933,109,2258,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Atoka County,county:40005,ATOKA,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,795,4084,139,5018,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Beaver County,county:40007,BEAVER,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,176,1993,74,2243,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Beckham County,county:40009,BECKHAM,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,960,6308,284,7552,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Blaine County,county:40011,BLAINE,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,711,2884,198,3793,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Bryan County,county:40013,BRYAN,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,2804,10478,536,13818,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Caddo County,county:40015,CADDO,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,2420,6482,446,9348,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Canadian County,county:40017,CANADIAN,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,11674,39986,3618,55278,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Carter County,county:40019,CARTER,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,4002,13752,780,18534,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Cherokee County,county:40021,CHEROKEE,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,5456,9994,1040,16490,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Choctaw County,county:40023,CHOCTAW,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,1067,4206,153,5426,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Cimarron County,county:40025,CIMARRON,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,71,963,45,1079,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Cleveland County,county:40027,CLEVELAND,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,38829,62538,8083,109450,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Coal County,county:40029,COAL,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,411,1898,90,2399,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Comanche County,county:40031,COMANCHE,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,11463,19183,1918,32564,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Cotton County,county:40033,COTTON,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,424,2054,124,2602,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Craig County,county:40035,CRAIG,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,1252,4283,250,5785,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
OK,2016,Creek County,county:40037,CREEK,ok-historical-presidential-baseline,county,oklahomaSbeCountyResultsCsvZip,5841,21575,1414,28830,https://results.okelections.gov/OKERS/enrapi/GetExtract/CLCSV/20161108,Official Oklahoma State Election Board county export for President race 10001; all non-Democratic/non-Republican candidate votes are other_votes.
