state,election_year,jurisdiction_name,comparison_dem,comparison_rep,comparison_other
OR,2024,Baker,2190,7107,11
OR,2024,Benton,32110,16135,75
OR,2024,Clackamas,117934,112444,324
OR,2024,Clatsop,11846,10156,26
OR,2024,Columbia,12316,17328,42
OR,2024,Coos,13197,20793,34
OR,2024,Crook,3607,12007,27
OR,2024,Curry,5430,8047,9
OR,2024,Deschutes,62109,58748,73
OR,2024,Douglas,17664,41561,83
OR,2024,Gilliam,274,828,0
OR,2024,Grant,792,3441,5
OR,2024,Harney,763,3220,8
OR,2024,Hood River,7721,4274,16
OR,2024,Jackson,50904,62813,67
OR,2024,Jefferson,3727,7507,12
OR,2024,Josephine,15814,31013,54
OR,2024,Klamath,9268,24509,23
OR,2024,Lake,672,3382,6
OR,2024,Lane,118333,81043,340
OR,2024,Lincoln,16370,12085,36
OR,2024,Linn,24418,42661,73
OR,2024,Malheur,2730,7802,7
OR,2024,Marion,69435,79750,162
OR,2024,Morrow,1086,3388,4
OR,2024,Multnomah,309113,82932,640
OR,2024,Polk,20469,24980,44
OR,2024,Sherman,202,905,2
OR,2024,Tillamook,7305,7998,12
OR,2024,Umatilla,8613,20814,28
OR,2024,Union,3748,10133,9
OR,2024,Wallowa,1258,3776,3
OR,2024,Wasco,5617,7030,15
OR,2024,Washington,175184,105751,306
OR,2024,Wheeler,185,639,0
OR,2024,Yamhill,24085,30964,36
