state,election_year,jurisdiction_name,harris,trump,other
OR,2024,Baker,2343,7060,291
OR,2024,Benton,33909,14187,2136
OR,2024,Clackamas,130580,106387,9273
OR,2024,Clatsop,12533,9913,844
OR,2024,Columbia,12895,17227,1212
OR,2024,Coos,13731,20849,1155
OR,2024,Crook,3836,12012,449
OR,2024,Curry,5737,8000,463
OR,2024,Deschutes,68108,54850,4417
OR,2024,Douglas,18386,41561,1860
OR,2024,Gilliam,291,805,38
OR,2024,Grant,816,3490,150
OR,2024,Harney,797,3307,151
OR,2024,Hood River,8364,3854,489
OR,2024,Jackson,54065,61743,3764
OR,2024,Jefferson,3941,7454,355
OR,2024,Josephine,16928,31129,1571
OR,2024,Klamath,9856,24675,984
OR,2024,Lake,681,3421,111
OR,2024,Lane,125775,77376,8134
OR,2024,Lincoln,17112,11645,1047
OR,2024,Linn,25749,43078,2602
OR,2024,Malheur,2884,7710,351
OR,2024,Marion,73970,77089,5632
OR,2024,Morrow,1138,3408,186
OR,2024,Multnomah,325927,70759,17564
OR,2024,Polk,22034,23768,1791
OR,2024,Sherman,233,890,40
OR,2024,Tillamook,7747,7971,534
OR,2024,Umatilla,9251,20973,1001
OR,2024,Union,4107,9942,525
OR,2024,Wallowa,1573,3366,169
OR,2024,Wasco,6069,6837,485
OR,2024,Washington,193013,92590,12346
OR,2024,Wheeler,210,618,40
OR,2024,Yamhill,26011,29536,2253
