ContestOrder,Contest,Contest ID,Choice,Precinct,BallotsWith Contest,Votes,Overvoted WithVote for this Choice,Undervoted WithoutVote for this Choice,Ballots WithVotes for Others
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,301,"1,727",15,1,18,"1,693"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,302,"2,559",50,3,20,"2,486"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,303,332,2,0,3,327
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,304,"1,077",14,0,13,"1,050"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,305,954,22,0,8,924
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,306,581,8,0,7,566
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,307,"4,511",71,0,36,"4,404"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,308,149,0,0,4,145
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,309,"4,322",72,2,46,"4,202"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,310,616,13,0,4,599
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,311,688,13,0,7,668
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,312,"1,707",31,0,13,"1,663"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,313,3,0,0,0,3
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,314,311,4,0,6,301
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,315,493,9,0,7,477
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,316,"1,728",34,1,21,"1,672"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,317,170,3,0,3,164
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,318,"3,767",64,0,30,"3,673"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,319,"5,213",69,1,38,"5,105"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,320,"1,780",38,0,20,"1,722"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,321,328,11,0,7,310
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,322,269,6,0,2,261
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,324,520,4,0,3,513
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,325,156,2,0,1,153
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,326,"1,900",30,2,16,"1,852"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,327,"5,329",77,3,42,"5,207"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,328,933,16,1,9,907
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,329,"7,717",120,2,65,"7,530"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,330,"2,157",43,0,19,"2,095"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,331,"2,404",17,0,20,"2,367"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,332,"2,555",32,0,21,"2,502"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,333,"3,631",43,1,20,"3,567"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,334,137,2,0,0,135
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,335,"4,278",86,0,53,"4,139"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,336,"2,958",58,1,28,"2,871"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,337,"1,089",19,3,9,"1,058"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,338,"5,188",92,4,36,"5,056"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,339,"4,834",89,4,33,"4,708"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,340,"6,965",118,2,71,"6,774"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,341,306,1,0,2,303
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,342,63,1,0,0,62
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,343,"2,616",49,2,23,"2,542"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,344,"2,809",54,1,22,"2,732"
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,345,27,0,0,0,27
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,346,275,4,0,2,269
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,347,55,0,0,0,55
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,348,27,1,0,1,25
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,349,577,4,1,2,570
1,US President and Vice President (Vote for 1),38,Robert F Kennedy Jr/Nicole Shanahan,350,"6,380",100,1,40,"6,239"
