state,election_year,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
OR,2016,Baker County,or-historical-presidential-baseline,county,historicalPresidentialCsv,1797,6218,764,8779,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Benton County,or-historical-presidential-baseline,county,historicalPresidentialCsv,29193,13445,6115,48753,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Clackamas County,or-historical-presidential-baseline,county,historicalPresidentialCsv,102095,88392,23552,214039,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Clatsop County,or-historical-presidential-baseline,county,historicalPresidentialCsv,9252,8138,2274,19664,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Columbia County,or-historical-presidential-baseline,county,historicalPresidentialCsv,10167,13217,3234,26618,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Coos County,or-historical-presidential-baseline,county,historicalPresidentialCsv,10448,17865,3000,31313,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Crook County,or-historical-presidential-baseline,county,historicalPresidentialCsv,2637,8511,1024,12172,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Curry County,or-historical-presidential-baseline,county,historicalPresidentialCsv,4300,7212,1099,12611,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Deschutes County,or-historical-presidential-baseline,county,historicalPresidentialCsv,42444,45692,10421,98557,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Douglas County,or-historical-presidential-baseline,county,historicalPresidentialCsv,14096,34582,4843,53521,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Gilliam County,or-historical-presidential-baseline,county,historicalPresidentialCsv,239,671,109,1019,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Grant County,or-historical-presidential-baseline,county,historicalPresidentialCsv,739,3210,391,4340,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Harney County,or-historical-presidential-baseline,county,historicalPresidentialCsv,683,2912,379,3974,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Hood River County,or-historical-presidential-baseline,county,historicalPresidentialCsv,6510,3272,1128,10910,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Jackson County,or-historical-presidential-baseline,county,historicalPresidentialCsv,44447,53870,11010,109327,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Jefferson County,or-historical-presidential-baseline,county,historicalPresidentialCsv,2980,5483,996,9459,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Josephine County,or-historical-presidential-baseline,county,historicalPresidentialCsv,13453,26923,4184,44560,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Klamath County,or-historical-presidential-baseline,county,historicalPresidentialCsv,7210,20435,2862,30507,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Lake County,or-historical-presidential-baseline,county,historicalPresidentialCsv,639,3022,269,3930,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Lane County,or-historical-presidential-baseline,county,historicalPresidentialCsv,102753,67141,22056,191950,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Lincoln County,or-historical-presidential-baseline,county,historicalPresidentialCsv,12501,10039,2716,25256,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Linn County,or-historical-presidential-baseline,county,historicalPresidentialCsv,17995,33488,7236,58719,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Malheur County,or-historical-presidential-baseline,county,historicalPresidentialCsv,2246,7194,995,10435,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Marion County,or-historical-presidential-baseline,county,historicalPresidentialCsv,57788,63377,15675,136840,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Morrow County,or-historical-presidential-baseline,county,historicalPresidentialCsv,1017,2721,429,4167,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Multnomah County,or-historical-presidential-baseline,county,historicalPresidentialCsv,292561,67954,38588,399103,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Polk County,or-historical-presidential-baseline,county,historicalPresidentialCsv,16420,18940,4935,40295,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Sherman County,or-historical-presidential-baseline,county,historicalPresidentialCsv,202,732,83,1017,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Tillamook County,or-historical-presidential-baseline,county,historicalPresidentialCsv,5768,6538,1497,13803,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Umatilla County,or-historical-presidential-baseline,county,historicalPresidentialCsv,7673,17059,2865,27597,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Union County,or-historical-presidential-baseline,county,historicalPresidentialCsv,3249,8431,1288,12968,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Wallowa County,or-historical-presidential-baseline,county,historicalPresidentialCsv,1116,2848,402,4366,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Wasco County,or-historical-presidential-baseline,county,historicalPresidentialCsv,4781,5833,1350,11964,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Washington County,or-historical-presidential-baseline,county,historicalPresidentialCsv,153251,83197,32784,269232,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Wheeler County,or-historical-presidential-baseline,county,historicalPresidentialCsv,155,591,72,818,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2016,Yamhill County,or-historical-presidential-baseline,county,historicalPresidentialCsv,19301,23250,6202,48753,https://records.sos.state.or.us/ORSOSWebDrawer/Record/6873777/File/document
OR,2020,Baker County,or-historical-presidential-baseline,county,historicalPresidentialCsv,2346,7352,234,9932,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Benton County,or-historical-presidential-baseline,county,historicalPresidentialCsv,35827,14878,2094,52799,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Clackamas County,or-historical-presidential-baseline,county,historicalPresidentialCsv,139043,110509,8127,257679,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Clatsop County,or-historical-presidential-baseline,county,historicalPresidentialCsv,12916,10218,776,23910,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Columbia County,or-historical-presidential-baseline,county,historicalPresidentialCsv,13835,17150,1236,32221,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Coos County,or-historical-presidential-baseline,county,historicalPresidentialCsv,14243,21829,1003,37075,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Crook County,or-historical-presidential-baseline,county,historicalPresidentialCsv,3801,11287,360,15448,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Curry County,or-historical-presidential-baseline,county,historicalPresidentialCsv,6058,8484,383,14925,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Deschutes County,or-historical-presidential-baseline,county,historicalPresidentialCsv,65962,55646,3626,125234,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Douglas County,or-historical-presidential-baseline,county,historicalPresidentialCsv,19160,43298,1891,64349,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Gilliam County,or-historical-presidential-baseline,county,historicalPresidentialCsv,324,834,20,1178,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Grant County,or-historical-presidential-baseline,county,historicalPresidentialCsv,929,3545,122,4596,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Harney County,or-historical-presidential-baseline,county,historicalPresidentialCsv,894,3475,112,4481,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Hood River County,or-historical-presidential-baseline,county,historicalPresidentialCsv,8764,3955,371,13090,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Jackson County,or-historical-presidential-baseline,county,historicalPresidentialCsv,59478,63869,3818,127165,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Jefferson County,or-historical-presidential-baseline,county,historicalPresidentialCsv,4393,7189,331,11913,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Josephine County,or-historical-presidential-baseline,county,historicalPresidentialCsv,18451,31751,1439,51641,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Klamath County,or-historical-presidential-baseline,county,historicalPresidentialCsv,10388,25308,1030,36726,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Lake County,or-historical-presidential-baseline,county,historicalPresidentialCsv,792,3470,101,4363,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Lane County,or-historical-presidential-baseline,county,historicalPresidentialCsv,134366,80336,7551,222253,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Lincoln County,or-historical-presidential-baseline,county,historicalPresidentialCsv,17385,12460,881,30726,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Linn County,or-historical-presidential-baseline,county,historicalPresidentialCsv,26512,43486,2642,72640,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Malheur County,or-historical-presidential-baseline,county,historicalPresidentialCsv,3260,8187,357,11804,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Marion County,or-historical-presidential-baseline,county,historicalPresidentialCsv,80872,79002,5660,165534,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Morrow County,or-historical-presidential-baseline,county,historicalPresidentialCsv,1371,3586,161,5118,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Multnomah County,or-historical-presidential-baseline,county,historicalPresidentialCsv,367249,82995,13415,463659,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Polk County,or-historical-presidential-baseline,county,historicalPresidentialCsv,22917,23732,1642,48291,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Sherman County,or-historical-presidential-baseline,county,historicalPresidentialCsv,260,921,27,1208,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Tillamook County,or-historical-presidential-baseline,county,historicalPresidentialCsv,8066,8354,468,16888,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Umatilla County,or-historical-presidential-baseline,county,historicalPresidentialCsv,10707,21270,1061,33038,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Union County,or-historical-presidential-baseline,county,historicalPresidentialCsv,4254,10298,392,14944,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Wallowa County,or-historical-presidential-baseline,county,historicalPresidentialCsv,1625,3404,120,5149,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Wasco County,or-historical-presidential-baseline,county,historicalPresidentialCsv,6604,7035,491,14130,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Washington County,or-historical-presidential-baseline,county,historicalPresidentialCsv,209940,99073,11313,320326,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Wheeler County,or-historical-presidential-baseline,county,historicalPresidentialCsv,217,711,37,965,https://digitalcollections.library.oregon.gov/nodes/view/208504
OR,2020,Yamhill County,or-historical-presidential-baseline,county,historicalPresidentialCsv,27174,29551,2198,58923,https://digitalcollections.library.oregon.gov/nodes/view/208504
