state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
PA,2012,Adams County,Adams County,Adams County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,15091,26767,759,42617
PA,2012,Allegheny County,Allegheny County,Allegheny County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,352464,261778,8012,622254
PA,2012,Armstrong County,Armstrong County,Armstrong County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,9045,19742,539,29326
PA,2012,Beaver County,Beaver County,Beaver County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,37055,42344,1075,80474
PA,2012,Bedford County,Bedford County,Bedford County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,4788,16702,207,21697
PA,2012,Berks County,Berks County,Berks County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,83011,84702,2607,170320
PA,2012,Blair County,Blair County,Blair County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,16276,33051,702,50029
PA,2012,Bradford County,Bradford County,Bradford County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,8624,14410,392,23426
PA,2012,Bucks County,Bucks County,Bucks County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,160521,156579,3916,321016
PA,2012,Butler County,Butler County,Butler County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,28550,59761,1134,89445
PA,2012,Cambria County,Cambria County,Cambria County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,19971,29593,973,50537
PA,2012,Cameron County,Cameron County,Cameron County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,724,1359,42,2125
PA,2012,Carbon County,Carbon County,Carbon County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,11580,13504,497,25581
PA,2012,Centre County,Centre County,Centre County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,34176,34001,1449,69626
PA,2012,Chester County,Chester County,Chester County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,124311,124840,2822,251973
PA,2012,Clarion County,Clarion County,Clarion County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,5056,10828,302,16186
PA,2012,Clearfield County,Clearfield County,Clearfield County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,11121,20347,654,32122
PA,2012,Clinton County,Clinton County,Clinton County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,5734,7303,228,13265
PA,2012,Columbia County,Columbia County,Columbia County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,10937,14236,450,25623
PA,2012,Crawford County,Crawford County,Crawford County,pa-historical-presidential-official-bulk,county,pennsylvaniaOfficialBulkPrecinctReturns,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,13883,20901,730,35514
