"Precinct","Tally Type","Registration","Turnout","Total Votes","Harris, Kamala D.","Oliver, Chase","Skousen, Joel","Trump, Donald J.","None of These Candidates"
"1000","Totals",714,655,652,"286","3","0","357","6"
"1000","Election Day",714,130,130,"59","0","0","70","1"
"1000","Early Vote",714,260,260,"96","0","0","162","2"
"1000","Mail",714,265,262,"131","3","0","125","3"
"1001","Totals",1145,920,919,"420","2","0","486","11"
"1001","Election Day",1145,162,162,"60","0","0","100","2"
"1001","Early Vote",1145,399,399,"140","2","0","255","2"
"1001","Mail",1145,359,358,"220","0","0","131","7"
"1002","Totals",0,4,4,"*","*","*","*","*"
"1002","Election Day",0,3,3,"*","*","*","*","*"
"1002","Early Vote",0,1,1,"*","*","*","*","*"
"1002","Mail",0,0,0,"0","0","0","0","0"
"1003","Totals",0,3,3,"*","*","*","*","*"
"1003","Election Day",0,2,2,"*","*","*","*","*"
"1003","Early Vote",0,1,1,"*","*","*","*","*"
"1003","Mail",0,0,0,"0","0","0","0","0"
"1004","Totals",2312,1287,1281,"755","2","3","503","18"
"1004","Election Day",2312,288,288,"157","1","0","127","3"
"1004","Early Vote",2312,394,394,"203","0","2","187","2"
"1004","Mail",2312,605,599,"395","1","1","189","13"
"1005","Totals",1893,1222,1215,"601","2","0","603","9"
"1005","Election Day",1893,160,159,"76","0","0","83","0"
"1005","Early Vote",1893,459,458,"172","0","0","283","3"
"1005","Mail",1893,603,598,"353","2","0","237","6"
"1006","Totals",2191,1546,1542,"816","2","2","706","16"
"1006","Election Day",2191,262,262,"104","0","0","152","6"
"1006","Early Vote",2191,623,621,"272","0","1","345","3"
"1006","Mail",2191,661,659,"440","2","1","209","7"
"1007","Totals",3491,2223,2216,"1246","14","7","925","24"
"1007","Election Day",3491,487,486,"257","3","2","219","5"
"1007","Early Vote",3491,828,828,"379","4","2","440","3"
"1007","Mail",3491,908,902,"610","7","3","266","16"
"1008","Totals",4232,2748,2741,"1459","7","4","1240","31"
"1008","Election Day",4232,507,507,"237","1","0","265","4"
"1008","Early Vote",4232,1056,1054,"466","1","0","584","3"
"1008","Mail",4232,1185,1180,"756","5","4","391","24"
"1009","Totals",1489,1216,1216,"544","5","1","651","15"
"1009","Election Day",1489,219,219,"72","2","0","139","6"
"1009","Early Vote",1489,526,526,"170","0","1","351","4"
"1009","Mail",1489,471,471,"302","3","0","161","5"
"1010","Totals",461,329,328,"198","1","0","128","1"
"1010","Election Day",461,82,82,"45","0","0","37","0"
"1010","Early Vote",461,107,107,"55","0","0","52","0"
"1010","Mail",461,140,139,"98","1","0","39","1"
"1011","Totals",222,165,165,"90","0","1","73","1"
"1011","Election Day",222,26,26,"9","0","1","16","0"
"1011","Early Vote",222,60,60,"28","0","0","32","0"
"1011","Mail",222,79,79,"53","0","0","25","1"
"1012","Totals",1946,1696,1688,"640","3","2","1025","18"
"1012","Election Day",1946,137,137,"34","0","1","98","4"
"1012","Early Vote",1946,632,631,"191","1","0","438","1"
"1012","Mail",1946,927,920,"415","2","1","489","13"
"1014","Totals",1,0,0,"0","0","0","0","0"
"1014","Election Day",1,0,0,"0","0","0","0","0"
"1014","Early Vote",1,0,0,"0","0","0","0","0"
"1014","Mail",1,0,0,"0","0","0","0","0"
"1015","Totals",2759,1982,1979,"996","10","3","946","24"
"1015","Election Day",2759,311,311,"130","3","0","174","4"
"1015","Early Vote",2759,825,824,"335","3","2","481","3"
"1015","Mail",2759,846,844,"531","4","1","291","17"
"1016","Totals",545,446,446,"191","1","0","250","4"
"1016","Election Day",545,50,50,"25","0","0","25","0"
"1016","Early Vote",545,204,204,"78","1","0","124","1"
