,,Mitt Romney and Paul Ryan,Barack Obama and Joe Biden,Gary Johnson and James P. Gray,Jill Stein and Cheri Honkala,Virgil Goode and Jim Clymer,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,Constitution,,,
State,South Carolina,1071645,865941,16321,5446,4765,1964118,18302,1982420
County,Abbeville,5981,4543,71,24,52,10671,131,10802
Precinct,Abbeville No. 01,715,321,7,2,2,1047,18,1065
Precinct,Abbeville No. 02,351,499,7,2,3,862,8,870
Precinct,Abbeville No. 03,291,299,6,1,7,604,10,614
Precinct,Abbeville No. 04,273,171,6,0,0,450,5,455
Precinct,Absentee,902,1286,11,4,15,2218,23,2241
Precinct,Antreville,417,146,5,0,2,570,2,572
Precinct,Broadmouth,172,76,1,0,0,249,2,251
Precinct,Calhoun Falls,376,612,2,4,1,995,17,1012
Precinct,Cold Springs,362,111,4,0,3,480,3,483
Precinct,Donalds,223,55,4,1,3,286,4,290
Precinct,Due West,465,319,3,4,4,795,10,805
Precinct,Emergency,43,29,0,0,0,72,0,72
Precinct,Failsafe,25,37,0,0,0,62,2,64
Precinct,Failsafe Provisional,15,7,0,0,0,22,0,22
Precinct,Hall's Store,259,151,3,1,0,414,10,424
Precinct,Keowee,414,161,3,3,5,586,9,595
Precinct,Lebanon,295,119,4,0,2,420,3,423
Precinct,Lowndesville,383,144,5,2,5,539,5,544
Precinct,Provisional,0,0,0,0,0,0,0,0
County,Aiken,44042,25322,624,211,164,70363,470,70833
Precinct,Absentee,5414,3372,42,19,16,8863,62,8925
Precinct,Absentee 2,2636,1854,21,8,11,4530,27,4557
Precinct,Absentee 3,78,27,1,0,0,106,2,108
Precinct,Aiken No. 01,435,166,13,4,0,618,3,621
Precinct,Aiken No. 02,121,414,4,2,3,544,5,549
Precinct,Aiken No. 03,121,593,7,3,3,727,6,733
Precinct,Aiken No. 04,37,310,3,0,2,352,2,354
Precinct,Aiken No. 05,235,324,12,2,0,573,5,578
Precinct,Aiken No. 06,485,191,12,6,3,697,1,698
Precinct,Aiken No. 47,430,201,5,5,2,643,2,645
Precinct,Anderson Pond No. 69,560,146,1,1,0,708,5,713
