state,election_year,jurisdiction_name,jurisdiction_code,level,harris,trump,other,total_votes,source_url
RI,2024,Barrington,BARRINGTON,city_town,7389,2864,353,10606,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Bristol,BRISTOL,city_town,6590,4721,305,11616,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Burrillville,BURRILLVILLE,city_town,3158,5378,188,8724,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Central Falls,CENTRAL_FALLS,city_town,2335,1265,83,3683,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Charlestown,CHARLESTOWN,city_town,2867,2349,137,5353,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Coventry,COVENTRY,city_town,8624,11222,486,20332,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Cranston,CRANSTON,city_town,21167,18637,1000,40804,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Cumberland,CUMBERLAND,city_town,10101,8771,533,19405,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,East Greenwich,EAST_GREENWICH,city_town,5089,3202,257,8548,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,East Providence,EAST_PROVIDENCE,city_town,13750,8663,583,22996,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Exeter,EXETER,city_town,1870,2074,129,4073,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Federal Precincts,FEDERAL_PRECINCTS,federal_precincts,1406,115,49,1570,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Foster,FOSTER,city_town,1113,1760,75,2948,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Glocester,GLOCESTER,city_town,2470,3781,129,6380,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Hopkinton,HOPKINTON,city_town,2262,2610,120,4992,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Jamestown,JAMESTOWN,city_town,2657,1171,118,3946,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Johnston,JOHNSTON,city_town,6205,9212,300,15717,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Lincoln,LINCOLN,city_town,6268,6001,334,12603,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Little Compton,LITTLE_COMPTON,city_town,1518,974,70,2562,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Middletown,MIDDLETOWN,city_town,4968,2832,232,8032,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Narragansett,NARRAGANSETT,city_town,5051,3823,226,9100,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,New Shoreham,NEW_SHOREHAM,city_town,661,177,30,868,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Newport,NEWPORT,city_town,7102,2784,274,10160,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,North Kingstown,NORTH_KINGSTOWN,city_town,10143,6673,550,17366,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,North Providence,NORTH_PROVIDENCE,city_town,8549,7461,340,16350,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,North Smithfield,NORTH_SMITHFIELD,city_town,3343,3692,170,7205,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Pawtucket,PAWTUCKET,city_town,15933,8003,723,24659,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Portsmouth,PORTSMOUTH,city_town,6347,4029,332,10708,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Providence,PROVIDENCE,city_town,41475,12968,1943,56386,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Richmond,RICHMOND,city_town,2331,2493,147,4971,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Scituate,SCITUATE,city_town,2538,3983,158,6679,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,Smithfield,SMITHFIELD,city_town,5254,6214,289,11757,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
RI,2024,South Kingstown,SOUTH_KINGSTOWN,city_town,10747,5382,557,16686,https://www.ri.gov/election/results/2024/general_election/data/rigen2024l.zip
