state,election_year,jurisdiction_name,jurisdiction_tag,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url,local_unit,notes
RI,2012,Bristol County,county:44001,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,14974,9231,471,24676,https://www.ri.gov/election/results/2012/general_election/data/rigen2012l.zip,Bristol County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2012,Kent County,county:44003,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,45564,31567,1792,78923,https://www.ri.gov/election/results/2012/general_election/data/rigen2012l.zip,Kent County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2012,Newport County,county:44005,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,23463,15202,787,39452,https://www.ri.gov/election/results/2012/general_election/data/rigen2012l.zip,Newport County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2012,Providence County,county:44007,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,159520,75785,4481,239786,https://www.ri.gov/election/results/2012/general_election/data/rigen2012l.zip,Providence County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2012,Washington County,county:44009,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,35888,25366,1625,62879,https://www.ri.gov/election/results/2012/general_election/data/rigen2012l.zip,Washington County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2012,Federal Precincts,,ri-historical-presidential-baseline,federal_precincts,rhodeIslandBoeLongFormatZipNonGeographic,268,53,12,333,https://www.ri.gov/election/results/2012/general_election/data/rigen2012l.zip,Federal Precincts,Non-geographic federal precinct rows retained from the official RI BOE long-format ZIP and left unforced for county FIPS joins.
RI,2016,Bristol County,county:44001,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,14609,8965,1901,25475,https://www.ri.gov/election/results/2016/general_election/data/rigen2016l.zip,Bristol County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2016,Kent County,county:44003,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,37788,38336,5929,82053,https://www.ri.gov/election/results/2016/general_election/data/rigen2016l.zip,Kent County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2016,Newport County,county:44005,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,22851,15077,3117,41045,https://www.ri.gov/election/results/2016/general_election/data/rigen2016l.zip,Newport County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2016,Providence County,county:44007,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,142899,90882,14693,248474,https://www.ri.gov/election/results/2016/general_election/data/rigen2016l.zip,Providence County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2016,Washington County,county:44009,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,33741,27230,5398,66369,https://www.ri.gov/election/results/2016/general_election/data/rigen2016l.zip,Washington County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2016,Federal Precincts,,ri-historical-presidential-baseline,federal_precincts,rhodeIslandBoeLongFormatZipNonGeographic,637,53,38,728,https://www.ri.gov/election/results/2016/general_election/data/rigen2016l.zip,Federal Precincts,Non-geographic federal precinct rows retained from the official RI BOE long-format ZIP and left unforced for county FIPS joins.
RI,2020,Bristol County,county:44001,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,18050,9745,620,28415,https://www.ri.gov/election/results/2020/general_election/data/rigen2020l.zip,Bristol County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2020,Kent County,county:44003,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,49113,42001,1979,93093,https://www.ri.gov/election/results/2020/general_election/data/rigen2020l.zip,Kent County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2020,Newport County,county:44005,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,29486,15722,940,46148,https://www.ri.gov/election/results/2020/general_election/data/rigen2020l.zip,Newport County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2020,Providence County,county:44007,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,165012,102551,5104,272667,https://www.ri.gov/election/results/2020/general_election/data/rigen2020l.zip,Providence County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2020,Washington County,county:44009,ri-historical-presidential-baseline,county,rhodeIslandBoeLongFormatZipCountyAggregation,44549,29818,1693,76060,https://www.ri.gov/election/results/2020/general_election/data/rigen2020l.zip,Washington County,County presidential baseline row aggregated from official RI BOE city/town long-format ZIP rows.
RI,2020,Federal Precincts,,ri-historical-presidential-baseline,federal_precincts,rhodeIslandBoeLongFormatZipNonGeographic,1276,85,13,1374,https://www.ri.gov/election/results/2020/general_election/data/rigen2020l.zip,Federal Precincts,Non-geographic federal precinct rows retained from the official RI BOE long-format ZIP and left unforced for county FIPS joins.
