,,Donald J. Trump and Michael R. Pence,Joseph R Biden and Kamala D. Harris,Jo Jorgensen and Jeremy Spike Cohen,Howie Hawkins and Angela Walker,Roque Rocky De La Fuente and Darcy G. Richardson,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,Alliance,,,
State,South Carolina,1385103,1091541,27916,6907,1862,2513329,19501,2532830
County,Abbeville,8215,4101,88,23,6,12433,110,12543
Precinct,Abbeville No. 01,866,418,8,1,1,1294,10,1304
Precinct,Abbeville No. 02,375,721,3,1,1,1101,13,1114
Precinct,Abbeville No. 03,483,442,11,2,0,938,20,958
Precinct,Abbeville No. 04,446,207,3,0,0,656,7,663
Precinct,Antreville,763,181,7,0,0,951,3,954
Precinct,Broadmouth,304,85,0,1,0,390,2,392
Precinct,Calhoun Falls,524,661,6,3,2,1196,6,1202
Precinct,Cold Springs,622,145,7,4,0,778,8,786
Precinct,Donald's,344,71,7,0,0,422,5,427
Precinct,Due West,758,359,15,2,0,1134,11,1145
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,8,12,0,0,0,20,0,20
Precinct,Hall's Store,316,151,1,2,0,470,4,474
Precinct,Keowee,716,178,7,3,0,904,11,915
Precinct,Lebanon,459,144,4,1,0,608,4,612
Precinct,Lowndesville,722,123,6,0,1,852,3,855
Precinct,Provisional,0,0,0,0,0,0,0,0
Precinct,Smithville,509,203,3,3,1,719,3,722
County,Aiken,51589,32275,982,274,65,85185,668,85853
Precinct,Aiken No. 01,616,370,11,5,1,1003,9,1012
Precinct,Aiken No. 02,185,588,6,5,2,786,11,797
Precinct,Aiken No. 03,133,842,4,7,2,988,14,1002
Precinct,Aiken No. 04,69,366,2,1,0,438,7,445
Precinct,Aiken No. 05,333,549,12,3,0,897,7,904
Precinct,Aiken No. 06,596,405,14,5,0,1020,9,1029
Precinct,Aiken No. 47,461,351,10,5,1,828,3,831
Precinct,Anderson Pond No. 69,1164,567,14,4,0,1749,13,1762
Precinct,Ascauga Lake No. 63,476,236,7,1,0,720,2,722
Precinct,Ascauga Lake No. 84,675,288,12,2,1,978,2,980
Precinct,Bath,299,239,2,4,1,545,7,552
Precinct,Beech Island,512,595,8,5,2,1122,10,1132
Precinct,Belvedere No. 09,540,490,15,9,1,1055,7,1062
Precinct,Belvedere No. 44,561,384,21,3,3,972,5,977
Precinct,Belvedere No. 62,413,475,5,5,0,898,7,905
Precinct,Belvedere No. 74,302,158,6,1,0,467,0,467
Precinct,Breezy Hill,1107,830,18,2,0,1957,9,1966
Precinct,Carolina Heights,278,476,7,2,1,764,8,772
Precinct,Cedar Creek No. 64,1021,440,10,3,1,1475,13,1488
Precinct,China Springs,355,668,10,10,1,1044,8,1052
Precinct,Clearwater,239,209,3,3,3,457,5,462
Precinct,College Acres,842,434,19,6,2,1303,15,1318
Precinct,Couchton,623,367,9,2,0,1001,11,1012
Precinct,Eureka,802,330,9,5,0,1146,9,1155
Precinct,Failsafe,27,28,1,0,0,56,1,57
Precinct,Failsafe Provisional,16,8,1,0,0,25,0,25
Precinct,Fox Creek No. 58,836,310,11,5,2,1164,9,1173
Precinct,Fox Creek No. 73,822,267,20,1,2,1112,3,1115
Precinct,Gem Lakes No. 60,748,291,7,5,0,1051,11,1062
Precinct,Gem Lakes No. 77,810,407,11,4,1,1233,7,1240
Precinct,Gloverville,520,165,8,4,0,697,4,701
Precinct,Graniteville,460,263,7,3,0,733,8,741
Precinct,Hammond No. 48,573,372,10,2,2,959,7,966
Precinct,Hammond No. 81,489,252,7,2,0,750,8,758
Precinct,Hitchcock No. 66,499,315,10,2,0,826,6,832
Precinct,Hollow Creek,758,345,5,5,1,1114,15,1129
Precinct,Jackson,876,250,5,1,0,1132,10,1142
Precinct,Langley,600,190,8,0,0,798,6,804
Precinct,Levels No. 52,484,431,19,3,0,937,5,942
Precinct,Levels No. 72,396,310,10,2,1,719,3,722
Precinct,Levels No. 83,250,241,20,2,1,514,6,520
Precinct,Lynwood,463,128,8,2,1,602,4,606
Precinct,Midland Valley No. 51,1150,616,22,1,1,1790,9,1799
Precinct,Midland Valley No. 71,1063,441,16,3,0,1523,8,1531
Precinct,Millbrook,904,541,20,4,0,1469,13,1482
