,,Nancy Mace,Michael B Moore,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Congressional District,1,227502,162582,693,390777,16425,407202
County,Beaufort,60676,40874,159,101709,3705,105414
Precinct,Beaufort 01,215,386,1,602,42,644
Precinct,Beaufort 02,399,380,9,788,26,814
Precinct,Beaufort 03,621,435,1,1057,38,1095
Precinct,Belfair 01,600,282,0,882,24,906
Precinct,Belfair 02,580,311,0,891,22,913
Precinct,Bluffton 01a,400,239,3,642,15,657
Precinct,Bluffton 01b,473,228,1,702,28,730
Precinct,Bluffton 01c,437,239,3,679,16,695
Precinct,Bluffton 01d,165,185,1,351,25,376
Precinct,Bluffton 02a,459,288,0,747,32,779
Precinct,Bluffton 02b,499,363,2,864,48,912
Precinct,Bluffton 02c,891,426,2,1319,39,1358
Precinct,Bluffton 02d,389,204,1,594,22,616
Precinct,Bluffton 02e,444,523,3,970,53,1023
Precinct,Bluffton 03,737,280,3,1020,28,1048
Precinct,Bluffton 04a,923,313,4,1240,37,1277
Precinct,Bluffton 04b,444,147,0,591,15,606
Precinct,Bluffton 04c,768,327,0,1095,27,1122
Precinct,Bluffton 04d,642,294,0,936,23,959
Precinct,Bluffton 04e,457,267,1,725,30,755
Precinct,Bluffton 05a,611,310,0,921,32,953
Precinct,Bluffton 05b,524,316,0,840,29,869
Precinct,Bluffton 05c,322,279,1,602,17,619
Precinct,Bluffton 05d,421,157,1,579,10,589
Precinct,Bluffton 05e,409,256,1,666,21,687
Precinct,Bluffton 06a,496,231,0,727,16,743
Precinct,Bluffton 06b,615,257,4,876,16,892
Precinct,Bluffton 07a,867,502,6,1375,52,1427
Precinct,Buckwalter 01,537,288,1,826,22,848
Precinct,Buckwalter 02,444,188,0,632,17,649
Precinct,Burton 01a,410,241,2,653,24,677
Precinct,Burton 01b,204,540,3,747,41,788
Precinct,Burton 01c,531,448,2,981,32,1013
Precinct,Burton 01d,229,176,0,405,21,426
Precinct,Burton 02a,492,284,4,780,32,812
Precinct,Burton 02b,508,234,2,744,18,762
Precinct,Burton 02c,647,335,4,986,30,1016
Precinct,Burton 02d,466,320,2,788,24,812
Precinct,Burton 03a,464,406,2,872,40,912
Precinct,Burton 03b,130,180,0,310,23,333
Precinct,Burton 04,167,294,1,462,33,495
Precinct,Burton 05a,426,231,3,660,23,683
Precinct,Burton 05b,319,332,0,651,36,687
Precinct,Chechessee 01,480,265,0,745,20,765
Precinct,Chechessee 02,601,281,1,883,18,901
Precinct,Chechessee 03,526,246,1,773,16,789
Precinct,Dale Lobeco,279,444,3,726,53,779
Precinct,Daufuskie,253,128,0,381,11,392
Precinct,Failsafe,118,95,0,213,10,223
Precinct,Failsafe Provisional,16,21,0,37,2,39
Precinct,Hilton Head 01a,503,418,1,922,45,967
Precinct,Hilton Head 01b,506,436,1,943,37,980
Precinct,Hilton Head 02a,543,483,0,1026,49,1075
