,,Joe Wilson,David Robinson II,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Congressional District,2,211514,142985,786,355285,16198,371483
County,Aiken,54585,28501,157,83243,3422,86665
Precinct,Aiken No. 01,626,296,4,926,32,958
Precinct,Aiken No. 02,183,444,0,627,32,659
Precinct,Aiken No. 03,159,595,1,755,72,827
Precinct,Aiken No. 04,87,263,0,350,28,378
Precinct,Aiken No. 05,335,402,0,737,43,780
Precinct,Aiken No. 06,588,322,5,915,40,955
Precinct,Aiken No. 47,459,289,2,750,19,769
Precinct,Anderson Pond No. 69,1427,579,3,2009,59,2068
Precinct,Ascauga Lake No. 63,551,199,1,751,18,769
Precinct,Ascauga Lake No. 84,690,271,1,962,27,989
Precinct,Bath,281,178,1,460,23,483
Precinct,Beech Island,486,480,2,968,47,1015
Precinct,Belvedere No. 09,526,414,3,943,35,978
Precinct,Belvedere No. 44,574,335,0,909,43,952
Precinct,Belvedere No. 62,451,446,3,900,38,938
Precinct,Belvedere No. 74,276,135,1,412,27,439
Precinct,Breezy Hill,536,682,6,1224,48,1272
Precinct,Breezy No. 87,366,137,2,505,11,516
Precinct,Carolina Heights,308,423,1,732,26,758
Precinct,Cedar Creek No. 64,1001,353,2,1356,74,1430
Precinct,China Springs,382,518,0,900,68,968
Precinct,Clearwater,222,153,0,375,24,399
Precinct,College Acres,878,388,3,1269,46,1315
Precinct,Community No. 86,456,199,0,655,30,685
Precinct,Couchton,612,297,0,909,36,945
Precinct,Creek No. 85,666,351,0,1017,31,1048
Precinct,Eureka,882,297,1,1180,40,1220
Precinct,Failsafe,27,21,0,48,4,52
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Fox Creek No. 58,775,270,1,1046,37,1083
Precinct,Fox Creek No. 73,1022,265,0,1287,35,1322
Precinct,Gem Lakes No. 60,707,263,4,974,33,1007
Precinct,Gem Lakes No. 77,895,294,6,1195,40,1235
Precinct,Gloverville,531,180,0,711,28,739
Precinct,Graniteville,437,179,1,617,23,640
Precinct,Hammond No. 48,665,356,0,1021,41,1062
Precinct,Hammond No. 81,573,283,3,859,37,896
Precinct,Hitchcock No. 66,485,249,0,734,34,768
Precinct,Hollow Creek,702,319,5,1026,32,1058
Precinct,Jackson,868,211,2,1081,35,1116
Precinct,Langley,599,176,0,775,33,808
Precinct,Levels No. 52,368,309,2,679,26,705
Precinct,Levels No. 72,432,301,5,738,31,769
Precinct,Levels No. 83,334,242,0,576,21,597
Precinct,Lynwood,401,119,1,521,24,545
Precinct,Midland Valley No. 51,734,325,0,1059,46,1105
Precinct,Midland Valley No. 71,1232,613,4,1849,74,1923
Precinct,Midlands No. 88,690,382,2,1074,40,1114
Precinct,Millbrook,831,463,4,1298,48,1346
Precinct,Misty Lakes,902,483,4,1389,74,1463
Precinct,Monetta,484,234,2,720,37,757
Precinct,Montmorenci No. 22,882,478,5,1365,58,1423
Precinct,Montmorenci No. 78,496,261,0,757,17,774
Precinct,N. Augusta No. 25,532,377,0,909,39,948
Precinct,N. Augusta No. 26,343,270,1,614,36,650
Precinct,N. Augusta No. 27,931,239,1,1171,30,1201
Precinct,N. Augusta No. 28,580,201,0,781,32,813
Precinct,N. Augusta No. 29,681,351,1,1033,41,1074
Precinct,N. Augusta No. 54,326,358,2,686,32,718
Precinct,N. Augusta No. 55,523,229,0,752,28,780
Precinct,N. Augusta No. 67,772,253,1,1026,38,1064
Precinct,N. Augusta No. 68,799,222,3,1024,22,1046
Precinct,N. Augusta No. 80,485,157,0,642,31,673
Precinct,New Ellenton,556,489,0,1045,57,1102
Precinct,New Holland,486,129,3,618,20,638
Precinct,Oak Grove,665,169,2,836,27,863
Precinct,Perry,490,126,3,619,31,650
Precinct,Pine Forest,1057,293,1,1351,47,1398
Precinct,Provisional,51,28,0,79,3,82
Precinct,Redds Branch,569,243,1,813,52,865
Precinct,Salley,259,175,1,435,30,465
Precinct,Sandstone No. 70,477,267,2,746,40,786
Precinct,Sandstone No. 79,496,297,1,794,24,818
Precinct,Shaws Fork,432,162,1,595,13,608
Precinct,Shiloh,1035,370,2,1407,55,1462
Precinct,Silver Bluff,683,601,5,1289,68,1357
Precinct,Six Points No. 35,624,400,1,1025,36,1061
Precinct,Six Points No. 46,135,533,2,670,48,718
Precinct,Sleepy Hollow No. 65,1105,318,1,1424,30,1454
Precinct,South Aiken No. 75,1037,484,2,1523,73,1596
Precinct,South Aiken No. 76,671,309,1,981,45,1026
Precinct,South Creek No. 89,613,249,0,862,22,884
Precinct,Tabernacle,307,192,1,500,26,526
Precinct,Talatha,1043,456,4,1503,54,1557
Precinct,Vaucluse,1086,712,1,1799,74,1873
Precinct,Wagener,926,474,6,1406,75,1481
Precinct,Ward,685,355,2,1042,46,1088
