,,William Timmons,Kathryn Harvey,Mark Hackett,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Constitution,,,,
Congressional District,4,206916,128976,9779,743,346414,13562,359976
County,Greenville,130105,85833,6601,600,223139,9862,233001
Precinct,Aiken,245,351,13,0,609,26,635
Precinct,Altamont Forest,744,325,50,7,1126,23,1149
Precinct,Asheton Lakes,1747,778,65,3,2593,62,2655
Precinct,Avon,772,378,53,5,1208,41,1249
Precinct,Belle Meade,91,745,22,0,858,56,914
Precinct,Bells Crossing,1409,722,65,3,2199,79,2278
Precinct,Belmont,195,325,8,1,529,29,558
Precinct,Berea,413,387,26,1,827,41,868
Precinct,Boiling Springs,959,530,44,7,1540,44,1584
Precinct,Botany Woods,700,382,53,5,1140,49,1189
Precinct,Bridge Fork,866,389,27,1,1283,37,1320
Precinct,Brookglenn,494,258,33,1,786,29,815
Precinct,Canebrake,1324,759,58,4,2145,54,2199
Precinct,Carolina,184,501,10,0,695,51,746
Precinct,Castle Rock,1768,539,63,7,2377,64,2441
Precinct,Chestnut Hills,470,527,26,2,1025,43,1068
Precinct,Circle Creek,1549,809,51,4,2413,55,2468
Precinct,Clear Creek,1006,271,66,6,1349,30,1379
Precinct,Conestee,856,831,43,4,1734,67,1801
Precinct,Darby Ridge,1648,510,79,3,2240,52,2292
Precinct,Del Norte,840,590,42,4,1476,48,1524
Precinct,Devenger,922,474,48,5,1449,42,1491
Precinct,Donaldson,526,844,22,2,1394,66,1460
Precinct,Dove Tree,798,511,57,4,1370,26,1396
Precinct,Eastside,1142,606,72,6,1826,52,1878
Precinct,Ebenezer,1332,413,80,9,1834,60,1894
Precinct,Edwards Forest,1052,479,52,9,1592,34,1626
Precinct,Enoree,1294,957,68,3,2322,74,2396
Precinct,Failsafe,142,103,10,1,256,48,304
Precinct,Failsafe Provisional,295,210,29,3,537,63,600
Precinct,Feaster,492,426,14,2,934,30,964
Precinct,Fox Chase,1244,397,37,4,1682,52,1734
Precinct,Frohawk,898,299,43,3,1243,37,1280
Precinct,Furman,1246,886,70,15,2217,56,2273
Precinct,Gowensville,1329,349,32,2,1712,50,1762
Precinct,Granite Creek,1567,904,57,8,2536,90,2626
