,,Ralph W Norman,Evangeline Hundley,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Congressional District,5,228260,130592,557,359409,17462,376871
County,Cherokee,18350,5485,25,23860,1087,24947
Precinct,99 and Cherokee Falls,629,55,2,686,23,709
Precinct,Allens,672,67,1,740,25,765
Precinct,Alma Mill,514,371,4,889,49,938
Precinct,Antioch and Kings Creek,973,96,1,1070,35,1105
Precinct,Ashworth,817,89,0,906,35,941
Precinct,Blacksburg Ward No. 01,467,145,1,613,34,647
Precinct,Blacksburg Ward No. 02,743,111,1,855,36,891
Precinct,Draytonville,906,181,0,1087,58,1145
Precinct,Ezells and Butler,967,154,0,1121,60,1181
Precinct,Failsafe,70,41,0,111,4,115
Precinct,Failsafe Provisional,1,0,0,1,0,1
Precinct,Gaffney Ward No. 01,120,207,0,327,33,360
Precinct,Gaffney Ward No. 02,150,418,1,569,54,623
Precinct,Gaffney Ward No. 03,145,470,2,617,32,649
Precinct,Gaffney Ward No. 04,455,374,2,831,50,881
Precinct,Gaffney Ward No. 05,446,215,2,663,36,699
Precinct,Gaffney Ward No. 06,466,151,0,617,22,639
Precinct,Goucher and Thicketty,905,116,0,1021,26,1047
Precinct,Grassy Pond,1523,302,1,1826,52,1878
Precinct,Holly Grove-Buffalo,764,109,1,874,45,919
Precinct,Limestone Mill,269,152,0,421,32,453
Precinct,Littlejohns and Sarratt,294,27,1,322,7,329
Precinct,Macedonia,1091,249,1,1341,56,1397
Precinct,Morgan,895,134,1,1030,31,1061
Precinct,Musgrove Mill,857,280,0,1137,45,1182
Precinct,Pleasant Grove,366,298,0,664,30,694
Precinct,Pleasant Meadows,158,345,0,503,31,534
Precinct,Provisional,8,1,0,9,1,10
Precinct,Timber Ridge,677,75,0,752,27,779
Precinct,White Plains,803,123,1,927,66,993
Precinct,Wilkinsville and Metcalf,416,18,1,435,18,453
Precinct,Woods,783,111,1,895,34,929
County,Chester,9038,5870,17,14925,767,15692
Precinct,Baldwin Mill,316,364,1,681,59,740
Precinct,Baton Rouge,380,106,1,487,25,512
Precinct,Beckhamville,386,222,2,610,34,644
Precinct,Blackstock,345,153,1,499,32,531
Precinct,Chester Ward 01,371,604,1,976,73,1049
Precinct,Chester Ward 02,120,381,1,502,41,543
Precinct,Chester Ward 03,493,475,1,969,53,1022
