,,James Jim E. Clyburn,Duke Buckner,Michael Simpson,Gregg Marcel Dixon,Joseph Oddo,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Republican,Libertarian,United Citizens,Alliance,,,,
Congressional District,6,182056,112360,5279,4927,1056,299,305977,18740,324717
County,Allendale,2047,775,16,76,11,0,2925,126,3051
Precinct,Allendale 01,444,90,3,18,3,0,558,23,581
Precinct,Allendale 02,442,15,3,19,3,0,482,32,514
Precinct,Failsafe,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0
Precinct,Fairfax 01,167,110,0,3,1,0,281,12,293
Precinct,Fairfax 02,475,74,3,11,0,0,563,19,582
Precinct,Martin,123,45,2,5,0,0,175,5,180
Precinct,Provisional,1,2,0,0,0,0,3,0,3
Precinct,Sycamore,63,172,1,1,1,0,238,7,245
Precinct,Ulmer,43,90,1,2,2,0,138,8,146
Precinct,Woods,289,177,3,17,1,0,487,20,507
County,Bamberg,3179,2179,56,94,17,6,5531,240,5771
Precinct,Colston,35,81,1,0,1,0,118,8,126
Precinct,East Denmark,736,243,10,22,1,1,1013,39,1052
Precinct,Edisto,68,169,1,1,0,1,240,11,251
Precinct,Ehrhardt,155,286,6,8,2,0,457,11,468
Precinct,Failsafe,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,1,1
Precinct,Govan,45,35,0,0,1,1,82,2,84
Precinct,Hightowers Mill,23,17,1,0,0,0,41,1,42
Precinct,Hunters Chapel,57,82,1,2,0,0,142,10,152
Precinct,Kearse,7,71,2,3,1,0,84,1,85
Precinct,Little Swamp,11,76,1,2,0,0,90,6,96
Precinct,North Bamberg,626,572,12,21,4,2,1237,50,1287
Precinct,Olar,76,123,6,1,2,0,208,11,219
Precinct,Provisional,1,2,0,0,0,0,3,0,3
Precinct,South Bamberg,841,297,11,27,3,1,1180,62,1242
Precinct,West Denmark,498,125,4,7,2,0,636,27,663
County,Calhoun,3334,4211,94,75,24,6,7744,250,7994
Precinct,Bethel,194,455,8,12,5,0,674,19,693
Precinct,Cameron,244,264,2,4,2,0,516,22,538
Precinct,Center Hill,384,398,12,10,2,1,807,18,825
Precinct,Creston,53,82,1,1,0,0,137,2,139
Precinct,Dixie,949,356,17,12,4,2,1340,43,1383
Precinct,Failsafe,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,4,6,0,0,0,0,10,0,10
Precinct,Fall Branch,139,193,3,3,1,1,340,15,355
Precinct,Fort Motte,82,111,0,1,0,0,194,7,201
Precinct,Lone Star,301,451,13,6,2,2,775,22,797
Precinct,Midway,41,187,1,1,0,0,230,8,238
Precinct,Murph Hill,163,131,6,3,0,0,303,16,319
Precinct,Provisional,0,0,0,0,0,0,0,0,0
Precinct,Sandy Run,331,958,21,9,4,0,1323,45,1368
Precinct,St. Matthews,449,619,10,13,4,0,1095,33,1128
County,Charleston,54600,37247,2459,1345,387,80,96118,3094,99212
Precinct,Charleston 01,222,364,6,2,1,1,596,11,607
Precinct,Charleston 02,264,398,9,2,1,0,674,29,703
Precinct,Charleston 03,355,331,24,4,0,1,715,21,736
Precinct,Charleston 04,341,308,15,0,3,1,668,19,687
Precinct,Charleston 05,289,271,8,3,3,0,574,11,585
Precinct,Charleston 06,402,282,12,6,2,1,705,21,726
Precinct,Charleston 07,415,316,11,2,4,0,748,28,776
Precinct,Charleston 08,445,155,28,10,7,2,647,17,664
Precinct,Charleston 09,268,137,16,5,2,0,428,11,439
Precinct,Charleston 10,155,65,10,1,1,0,232,13,245
Precinct,Charleston 11,420,260,20,4,3,1,708,30,738
Precinct,Charleston 12,636,276,34,10,2,0,958,29,987
Precinct,Charleston 13,509,158,19,5,1,0,692,19,711
Precinct,Charleston 14,361,182,16,13,1,1,574,19,593
Precinct,Charleston 15,703,390,22,15,4,0,1134,37,1171
Precinct,Charleston 16,544,140,19,5,3,0,711,15,726
Precinct,Charleston 17,565,142,31,11,1,0,750,19,769
Precinct,Charleston 18,650,201,25,16,6,0,898,38,936
Precinct,Charleston 19,396,90,13,7,1,1,508,15,523
