,,Russell Fry,Mal Hyman,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Congressional District,7,240326,129522,481,370329,17264,387593
County,Chesterfield,11510,6179,8,17697,831,18528
Precinct,Angelus-Catarrh,365,138,1,504,26,530
Precinct,Bay Springs,242,29,0,271,9,280
Precinct,Black Creek,230,94,0,324,14,338
Precinct,Brocks Mill,482,483,1,966,42,1008
Precinct,Cash,350,362,2,714,31,745
Precinct,Center Grove-Winzo,359,304,1,664,30,694
Precinct,Cheraw No. 01,570,326,0,896,42,938
Precinct,Cheraw No. 02,371,319,0,690,33,723
Precinct,Cheraw No. 03,306,544,0,850,64,914
Precinct,Cheraw No. 04,425,420,1,846,40,886
Precinct,Courthouse,958,391,0,1349,63,1412
Precinct,Dudley-mangum,537,146,0,683,30,713
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Grants Mill,592,289,0,881,42,923
Precinct,Jefferson,797,391,0,1188,54,1242
Precinct,Mcbee,727,327,0,1054,46,1100
Precinct,Middendorf,454,69,0,523,7,530
Precinct,Mt. Groghan,240,55,0,295,12,307
Precinct,Ousleydale,477,64,0,541,16,557
Precinct,Pageland No. 01,758,465,1,1224,60,1284
Precinct,Pageland No. 02,635,387,0,1022,54,1076
Precinct,Patrick,306,118,1,425,33,458
Precinct,Pee Dee,178,32,0,210,7,217
Precinct,Provisional,4,0,0,4,0,4
Precinct,Ruby,488,236,0,724,46,770
Precinct,Shiloh,365,122,0,487,12,499
Precinct,Snow Hill-Vaughn,294,68,0,362,18,380
County,Darlington,16758,12716,31,29505,1084,30589
Precinct,Antioch,779,406,1,1186,30,1216
Precinct,Auburn,98,296,0,394,22,416
Precinct,Bethel,267,183,1,451,15,466
Precinct,Black Creek-Clyde,648,206,1,855,30,885
Precinct,Burnt Branch,360,151,0,511,17,528
Precinct,Darlington No. 01,77,97,0,174,4,178
Precinct,Darlington No. 02,336,523,0,859,35,894
Precinct,Darlington No. 03,1174,771,1,1946,72,2018
Precinct,Darlington No. 04,341,542,0,883,36,919
Precinct,Darlington No. 05,153,748,0,901,40,941
Precinct,Darlington No. 06,613,414,2,1029,43,1072
Precinct,Dovesville,399,535,0,934,44,978
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,3,3,0,6,0,6
Precinct,Hartsville No. 01,610,326,3,939,20,959
Precinct,Hartsville No. 04,159,320,1,480,22,502
Precinct,Hartsville No. 05,974,708,2,1684,62,1746
Precinct,Hartsville No. 06,31,728,2,761,31,792
Precinct,Hartsville No. 07,317,265,0,582,26,608
Precinct,Hartsville No. 08,1551,418,2,1971,56,2027
Precinct,Hartsville No. 09,707,440,1,1148,42,1190
Precinct,High Hill,974,852,1,1827,77,1904
Precinct,Indian Branch,330,119,2,451,16,467
Precinct,Kelleytown,1140,328,0,1468,42,1510
Precinct,Lake Swamp,597,360,1,958,49,1007
