state,election_year,jurisdiction_name,source_id,source_level,row_method,ballots_cast,registered_voters,total_votes_cast,source_url,source_status,source_jurisdiction_name
SC,2024,Abbeville County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,12107,15921,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Abbeville
SC,2024,Aiken County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,86665,113200,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Aiken
SC,2024,Allendale County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,3051,4587,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Allendale
SC,2024,Anderson County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,98869,125731,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Anderson
SC,2024,Bamberg County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,5771,9475,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Bamberg
SC,2024,Barnwell County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,9857,12899,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Barnwell
SC,2024,Beaufort County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,105414,140221,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Beaufort
SC,2024,Berkeley County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,113538,146231,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Berkeley
SC,2024,Calhoun County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,7994,10096,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Calhoun
SC,2024,Charleston County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,216459,332681,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Charleston
SC,2024,Cherokee County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,24947,33634,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Cherokee
SC,2024,Chester County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,15692,22392,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Chester
