,,Total Votes Cast,Total Ballots Cast,Registered Voters
,,,,
State,South Carolina,0,2566404,3451344
County,Abbeville,0,12107,15921
Precinct,Abbeville No. 01,0,1302,1672
Precinct,Abbeville No. 02,0,912,1411
Precinct,Abbeville No. 03,0,903,1282
Precinct,Abbeville No. 04,0,618,796
Precinct,Antreville,0,1009,1304
Precinct,Broadmouth,0,399,530
Precinct,Calhoun Falls,0,1110,1551
Precinct,Cold Springs,0,749,890
Precinct,Donald's,0,401,522
Precinct,Due West,0,1121,1439
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Hall's Store,0,447,641
Precinct,Keowee,0,909,1170
Precinct,Lebanon,0,600,732
Precinct,Lowndesville,0,899,1134
Precinct,Provisional,0,7,0
Precinct,Smithville,0,721,847
County,Aiken,0,86665,113200
Precinct,Aiken No. 01,0,958,1154
Precinct,Aiken No. 02,0,659,1059
Precinct,Aiken No. 03,0,827,1572
Precinct,Aiken No. 04,0,378,686
Precinct,Aiken No. 05,0,780,1135
Precinct,Aiken No. 06,0,955,1200
Precinct,Aiken No. 47,0,769,1042
Precinct,Anderson Pond No. 69,0,2068,2361
Precinct,Ascauga Lake No. 63,0,769,954
Precinct,Ascauga Lake No. 84,0,989,1187
Precinct,Bath,0,483,720
Precinct,Beech Island,0,1015,1432
Precinct,Belvedere No. 09,0,978,1470
Precinct,Belvedere No. 44,0,952,1208
Precinct,Belvedere No. 62,0,938,1211
Precinct,Belvedere No. 74,0,439,598
Precinct,Breezy Hill,0,1272,1676
Precinct,Breezy No. 87,0,516,663
Precinct,Carolina Heights,0,758,1129
Precinct,Cedar Creek No. 64,0,1430,1713
Precinct,China Springs,0,968,1460
Precinct,Clearwater,0,399,631
Precinct,College Acres,0,1315,1658
Precinct,Community No. 86,0,685,878
Precinct,Couchton,0,945,1252
Precinct,Creek No. 85,0,1048,1259
Precinct,Eureka,0,1220,1574
Precinct,Failsafe,0,52,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Fox Creek No. 58,0,1083,1341
Precinct,Fox Creek No. 73,0,1322,1512
Precinct,Gem Lakes No. 60,0,1007,1190
Precinct,Gem Lakes No. 77,0,1235,1483
Precinct,Gloverville,0,739,958
Precinct,Graniteville,0,640,949
Precinct,Hammond No. 48,0,1062,1280
Precinct,Hammond No. 81,0,896,1203
Precinct,Hitchcock No. 66,0,768,1085
Precinct,Hollow Creek,0,1058,1354
Precinct,Jackson,0,1116,1441
Precinct,Langley,0,808,1153
Precinct,Levels No. 52,0,705,1060
Precinct,Levels No. 72,0,769,1036
Precinct,Levels No. 83,0,597,898
Precinct,Lynwood,0,545,744
Precinct,Midland Valley No. 51,0,1105,1309
Precinct,Midland Valley No. 71,0,1923,2403
Precinct,Midlands No. 88,0,1114,1316
Precinct,Millbrook,0,1346,1834
Precinct,Misty Lakes,0,1463,1871
Precinct,Monetta,0,757,1039
Precinct,Montmorenci No. 22,0,1423,1851
Precinct,Montmorenci No. 78,0,774,1023
Precinct,N. Augusta No. 25,0,948,1309
Precinct,N. Augusta No. 26,0,650,919
Precinct,N. Augusta No. 27,0,1201,1428
Precinct,N. Augusta No. 28,0,813,982
Precinct,N. Augusta No. 29,0,1074,1448
Precinct,N. Augusta No. 54,0,718,1018
Precinct,N. Augusta No. 55,0,780,965
Precinct,N. Augusta No. 67,0,1064,1229
Precinct,N. Augusta No. 68,0,1046,1214
Precinct,N. Augusta No. 80,0,673,846
Precinct,New Ellenton,0,1102,1515
Precinct,New Holland,0,638,793
Precinct,Oak Grove,0,863,1147
Precinct,Perry,0,650,845
Precinct,Pine Forest,0,1398,1692
Precinct,Provisional,0,82,0
Precinct,Redds Branch,0,865,1199
Precinct,Salley,0,465,645
Precinct,Sandstone No. 70,0,786,1063
Precinct,Sandstone No. 79,0,818,1110
Precinct,Shaws Fork,0,608,754
Precinct,Shiloh,0,1462,1823
Precinct,Silver Bluff,0,1357,1809
Precinct,Six Points No. 35,0,1061,1475
Precinct,Six Points No. 46,0,718,1149
Precinct,Sleepy Hollow No. 65,0,1454,1809
Precinct,South Aiken No. 75,0,1596,1959
Precinct,South Aiken No. 76,0,1026,1270
Precinct,South Creek No. 89,0,884,1043
Precinct,Tabernacle,0,526,698
Precinct,Talatha,0,1557,2007
Precinct,Vaucluse,0,1873,2419
Precinct,Wagener,0,1481,1923
Precinct,Ward,0,1088,1443
Precinct,Warrenville,0,1440,1876
Precinct,White Pond,0,571,731
Precinct,Willow Springs,0,879,1206
Precinct,Windsor No. 43,0,857,1154
Precinct,Windsor No. 82,0,773,1070
County,Allendale,0,3051,4587
Precinct,Allendale 01,0,581,922
Precinct,Allendale 02,0,514,840
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Fairfax 01,0,293,470
Precinct,Fairfax 02,0,582,891
Precinct,Martin,0,180,236
Precinct,Provisional,0,3,0
Precinct,Sycamore,0,245,315
Precinct,Ulmer,0,146,198
Precinct,Woods,0,507,715
County,Anderson,0,98869,125731
Precinct,3 And 20,0,2112,2608
Precinct,5 Forks,0,1373,1578
Precinct,Anderson 01/1,0,1008,1558
Precinct,Anderson 01/2,0,1020,1221
Precinct,Anderson 02/1,0,1039,1343
Precinct,Anderson 02/2,0,1772,2360
Precinct,Anderson 03/1,0,458,789
Precinct,Anderson 03/2,0,626,997
Precinct,Anderson 04/1,0,571,1104
Precinct,Anderson 04/2,0,1200,1742
Precinct,Anderson 05/b,0,607,1041
Precinct,Anderson 06/1,0,1388,1858
Precinct,Anderson 06/2,0,550,1102
Precinct,Appleton-Equinox,0,446,792
Precinct,Barkers Creek-Mcadams,0,348,382
Precinct,Belton,0,1323,1856
Precinct,Belton Annex,0,1343,1822
Precinct,Bishops Branch,0,1573,1936
Precinct,Bowling Green,0,796,949
Precinct,Broadview,0,472,592
Precinct,Broadway,0,618,789
Precinct,Brushy Creek,0,1972,2363
Precinct,Cedar Grove,0,1101,1363
Precinct,Center Rock,0,1980,2378
Precinct,Centerville Station A,0,2194,2729
Precinct,Centerville Station B,0,1997,2560
Precinct,Chiquola Mill,0,401,662
Precinct,Concrete,0,2439,3171
Precinct,Coxs Creek,0,803,1024
Precinct,Craytonville,0,804,985
Precinct,Denver-sandy Springs,0,1404,1665
Precinct,Edgewood Station A,0,1440,1928
Precinct,Edgewood Station B,0,1556,1774
Precinct,Failsafe,0,33,0
Precinct,Failsafe Provisional,0,150,0
Precinct,Flat Rock,0,988,1332
Precinct,Fork No. 01,0,1209,1488
Precinct,Fork No. 02,0,1352,1624
Precinct,Friendship,0,778,902
Precinct,Glenview,0,1553,1913
Precinct,Gluck Mill,0,770,1260
Precinct,Green Pond Station A,0,1917,2341
