state,election_year,jurisdiction_name,level,ballots_cast,registered_voters,denominator_note,warning_required,source_url,county,local_unit,turnout_pct,denominator_type,denominator_timing,source_title,source_status,notes
SC,2024,Abbeville County,county,12051,17528,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Abbeville County,Abbeville County,68.753,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Aiken County,county,86425,131822,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Aiken County,Aiken County,65.562,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Allendale County,county,3046,5538,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Allendale County,Allendale County,55.002,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Anderson County,county,93564,142226,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Anderson County,Anderson County,65.785,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Bamberg County,county,5782,9486,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Bamberg County,Bamberg County,60.953,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Barnwell County,county,9854,14700,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Barnwell County,Barnwell County,67.034,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Beaufort County,county,105199,156352,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Beaufort County,Beaufort County,67.283,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Berkeley County,county,112968,171023,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Berkeley County,Berkeley County,66.054,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Calhoun County,county,7818,11405,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Calhoun County,Calhoun County,68.549,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Charleston County,county,216828,334183,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Charleston County,Charleston County,64.883,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Cherokee County,county,24964,37808,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Cherokee County,Cherokee County,66.028,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Chester County,county,15352,22608,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Chester County,Chester County,67.905,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
SC,2024,Chesterfield County,county,18556,29323,SC VREMS voter-history registered count for printed registration lists; source notes these include active voters plus some inactive voters printed for the selected election.,true,https://vrems.scvotes.sc.gov/Statistics/VoterHistoryResults,Chesterfield County,Chesterfield County,63.281,printedRegistrationListVoters,voterHistoryElectionList,South Carolina VREMS 2024 General Election voter history county statistics,loaded,Generated from official SC VREMS 2024 General Election VOT endpoint and cross-checked against the REG endpoint.
