state,election_year,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
SC,2012,Abbeville County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,4543,5981,147,10671,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Aiken County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,25322,44042,999,70363,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Allendale County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,3297,838,28,4163,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Anderson County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,22405,48709,1098,72212,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Bamberg County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,4624,2194,64,6882,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Barnwell County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,5188,4659,76,9923,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Beaufort County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,29848,42687,762,73297,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Berkeley County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,28542,38475,1178,68195,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Calhoun County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,4045,3707,82,7834,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Charleston County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,81487,77629,2591,161707,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Cherokee County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,7231,13314,228,20773,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Chester County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,7891,6367,149,14407,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Chesterfield County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,7958,8490,146,16594,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Clarendon County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,9091,7071,130,16292,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Colleton County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,8475,8443,168,17086,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Darlington County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,15457,14434,259,30150,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Dillon County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,7523,5427,85,13035,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Dorchester County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,23445,32531,879,56855,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Edgefield County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,4967,6512,107,11586,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Fairfield County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,7777,3999,119,11895,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Florence County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,28614,28961,547,58122,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Georgetown County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,14163,16526,276,30965,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Greenville County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,68070,121685,3434,193189,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Greenwood County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,11972,16348,352,28672,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Hampton County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,5834,3312,60,9206,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
SC,2012,Horry County,sc-historical-presidential-baseline,county,historicalPresidentialCsv,38885,72127,1381,112393,https://sc.elstats.civera.com/api/download_contest/9112_table.csv?split_party=false
