state,election_year,jurisdiction_name,trump,harris,other
SD,2024,Aurora County,1056,302,35
SD,2024,Beadle County,4826,2017,167
SD,2024,Bennett County,676,389,23
SD,2024,Bon Homme County,2236,697,59
SD,2024,Brookings County,8575,5978,386
SD,2024,Brown County,10645,6075,323
SD,2024,Brule County,1694,666,63
SD,2024,Buffalo County,164,291,11
SD,2024,Butte County,4024,942,116
SD,2024,Campbell County,706,120,10
SD,2024,Charles Mix County,2551,1000,64
SD,2024,Clark County,1382,415,45
SD,2024,Clay County,2574,2944,139
SD,2024,Codington County,9349,3840,321
SD,2024,Corson County,631,495,17
SD,2024,Custer County,4313,1567,121
SD,2024,Davison County,6208,2743,226
SD,2024,Day County,1876,1000,56
SD,2024,Deuel County,1717,528,53
SD,2024,Dewey County,793,1032,46
SD,2024,Douglas County,1419,219,20
SD,2024,Edmunds County,1618,384,29
SD,2024,Fall River County,3135,1030,109
SD,2024,Faulk County,920,183,27
SD,2024,Grant County,2594,946,90
SD,2024,Gregory County,1790,426,51
SD,2024,Haakon County,1004,105,16
SD,2024,Hamlin County,2560,610,56
SD,2024,Hand County,1376,365,23
SD,2024,Hanson County,1611,399,36
SD,2024,Harding County,754,48,18
SD,2024,Hughes County,5379,2838,218
SD,2024,Hutchinson County,2918,755,63
SD,2024,Hyde County,530,148,17
SD,2024,Jackson County,753,357,19
SD,2024,Jerauld County,708,276,15
SD,2024,Jones County,477,60,13
SD,2024,Kingsbury County,1989,760,52
SD,2024,Lake County,3819,1978,109
SD,2024,Lawrence County,9904,5074,431
SD,2024,Lincoln County,22621,12981,791
SD,2024,Lyman County,993,422,32
SD,2024,Marshall County,1288,782,39
SD,2024,McCook County,2227,733,71
SD,2024,McPherson County,1087,188,24
SD,2024,Meade County,10887,3421,364
SD,2024,Mellette County,434,285,21
SD,2024,Miner County,841,293,33
SD,2024,Minnehaha County,51842,39923,2221
SD,2024,Moody County,2068,1052,69
SD,2024,Oglala Lakota County,406,2567,89
SD,2024,Pennington County,35009,20051,1520
SD,2024,Perkins County,1342,228,21
SD,2024,Potter County,1059,214,25
SD,2024,Roberts County,2514,1560,75
SD,2024,Sanborn County,929,259,24
SD,2024,Spink County,2145,921,73
SD,2024,Stanley County,1260,447,28
SD,2024,Sully County,716,168,17
SD,2024,Todd County,497,1570,59
SD,2024,Tripp County,2150,470,34
SD,2024,Turner County,3374,1044,120
SD,2024,Union County,6160,2548,168
SD,2024,Walworth County,1940,481,45
SD,2024,Yankton County,6650,3883,299
SD,2024,Ziebach County,388,366,27
