state,election_year,county,local_unit,source_county_id,source_unit_id,source_unit_name,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total
SD,2024,Aurora,0001 Precinct-1,10,0001,Precinct-1,56,229,6,291,47,243,0,290
SD,2024,Aurora,0002 Precinct-2,10,0002,Precinct-2,21,126,2,149,21,123,0,144
SD,2024,Aurora,0003 Precinct-3,10,0003,Precinct-3,103,300,17,420,65,351,0,416
SD,2024,Aurora,0005 Precinct-5,10,0005,Precinct-5,47,157,2,206,35,160,0,195
SD,2024,Aurora,0007 Precinct-7,10,0007,Precinct-7,75,244,8,327,54,269,0,323
SD,2024,Beadle,0012 Precinct-7,04,0012,Precinct-7,175,733,19,927,136,800,0,936
SD,2024,Beadle,0015 Precinct 8,04,0015,Precinct 8,39,261,2,302,25,277,0,302
SD,2024,Beadle,0017 Precinct 9,04,0017,Precinct 9,79,222,12,313,60,252,0,312
SD,2024,Beadle,0021 Precinct 1,04,0021,Precinct 1,354,708,27,1089,260,823,0,1083
SD,2024,Beadle,0022 Precinct 6,04,0022,Precinct 6,219,532,20,771,169,583,0,752
SD,2024,Beadle,0031 Precinct 2,04,0031,Precinct 2,269,606,20,895,202,684,0,886
SD,2024,Beadle,0032 Precinct 3,04,0032,Precinct 3,255,501,16,772,181,593,0,774
SD,2024,Beadle,0041 Precinct 5,04,0041,Precinct 5,425,764,34,1223,290,918,0,1208
SD,2024,Beadle,0042 Precinct 4,04,0042,Precinct 4,202,499,17,718,142,575,0,717
SD,2024,Bennett,0001 Allen Precinct,11,0001,Allen Precinct,177,70,10,257,159,91,0,250
SD,2024,Bennett,0002 Martin City Precinct,11,0002,Martin City Precinct,115,188,5,308,98,205,0,303
SD,2024,Bennett,0003 Vetal/Tuthill Precinct,11,0003,Vetal/Tuthill Precinct,10,142,3,155,11,138,0,149
SD,2024,Bennett,0027 Martin Rural 26/27 Precinct,11,0027,Martin Rural 26/27 Precinct,87,276,5,368,66,296,0,362
SD,2024,Bon Homme,0001 Precinct-1,12,0001,Precinct-1,96,492,8,596,96,495,0,591
SD,2024,Bon Homme,0002 Precinct-2,12,0002,Precinct-2,124,391,11,526,99,417,0,516
SD,2024,Bon Homme,0003 Precinct-3,12,0003,Precinct-3,193,482,25,700,147,540,0,687
SD,2024,Bon Homme,0004 Precinct-4,12,0004,Precinct-4,149,390,5,544,113,423,0,536
SD,2024,Bon Homme,0005 Precinct-5,12,0005,Precinct-5,135,481,10,626,109,498,0,607
SD,2024,Brookings,C025 Brookings Activity Center,06,C025,Brookings Activity Center,659,821,65,1545,544,977,0,1521
SD,2024,Brookings,C782 Holy Life Tabernacle,06,C782,Holy Life Tabernacle,293,602,20,915,203,696,0,899
SD,2024,Brookings,C927 Bethel Baptist Church Area 1,06,C927,Bethel Baptist Church Area 1,338,586,35,959,265,683,0,948
SD,2024,Brookings,C982 Aurora Impact Church,06,C982,Aurora Impact Church,129,387,21,537,116,417,0,533
SD,2024,Brookings,C983 Elkton Community Center,06,C983,Elkton Community Center,77,295,11,383,57,326,0,383
SD,2024,Brookings,C984 White McKnight Hall,06,C984,White McKnight Hall,108,398,13,519,62,458,0,520
SD,2024,Brookings,C985 Bruce Community Room,06,C985,Bruce Community Room,92,318,11,421,62,359,0,421
SD,2024,Brookings,C986 Bethel Baptist Church Area 2,06,C986,Bethel Baptist Church Area 2,316,569,44,929,240,674,0,914
SD,2024,Brookings,C987 Volga Community Center,06,C987,Volga Community Center,282,874,24,1180,207,957,0,1164
SD,2024,Brookings,C999 Absentee Precinct,06,C999,Absentee Precinct,3684,3724,142,7550,2888,4585,0,7473
SD,2024,Brown,C180 Courthouse Community Room,03,C180,Courthouse Community Room,618,1189,56,1863,534,1278,0,1812
SD,2024,Brown,C342 Warner Community Center,03,C342,Warner Community Center,109,324,6,439,80,360,0,440
SD,2024,Brown,C343 Stratford Communty Center,03,C343,Stratford Communty Center,55,96,6,157,50,106,0,156
SD,2024,Brown,C344 Groton Community Center,03,C344,Groton Community Center,231,618,9,858,161,689,0,850
SD,2024,Brown,C464 Hecla Community Center,03,C464,Hecla Community Center,60,154,0,214,40,170,0,210
SD,2024,Brown,C612 Best Western Ramkota Hotel and Convention Center,03,C612,Best Western Ramkota Hotel and Convention Center,555,1285,57,1897,426,1429,0,1855
SD,2024,Brown,C691 Claremont City Hall,03,C691,Claremont City Hall,41,91,1,133,33,98,0,131
SD,2024,Brown,C692 Columbia Legion,03,C692,Columbia Legion,55,179,3,237,43,183,0,226
SD,2024,Brown,C693 Westport Town Hall,03,C693,Westport Town Hall,43,149,2,194,38,153,0,191
SD,2024,Brown,C694 Frederick Community Center,03,C694,Frederick Community Center,68,166,7,241,49,190,0,239
SD,2024,Brown,C740 AmericInn Event Center,03,C740,AmericInn Event Center,667,1515,46,2228,530,1668,0,2198
SD,2024,Brown,C999 Absentee Precinct,03,C999,Absentee Precinct,3573,4876,130,8579,2769,5647,0,8416
SD,2024,Brule,0001 Precinct-01,13,0001,Precinct-01,444,816,41,1301,342,948,0,1290
SD,2024,Brule,0002 Precinct-02,13,0002,Precinct-02,92,443,12,547,80,460,0,540
SD,2024,Brule,0003 Precinct-03,13,0003,Precinct-03,91,318,9,418,80,342,0,422
SD,2024,Brule,0004 Precinct-04,13,0004,Precinct-04,39,117,1,157,24,131,0,155
SD,2024,Buffalo,0001 Precinct-1,14,0001,Precinct-1,17,89,2,108,18,87,0,105
SD,2024,Buffalo,0002 Precinct-2,14,0002,Precinct-2,37,32,3,72,31,39,0,70
SD,2024,Buffalo,0003 Precinct-3,14,0003,Precinct-3,237,43,6,286,191,91,0,282
SD,2024,Butte,0006 Precinct-06,15,0006,Precinct-06,1,46,0,47,1,43,0,44
SD,2024,Butte,0008 Precinct-08,15,0008,Precinct-08,0,27,1,28,0,26,0,26
SD,2024,Butte,0011 Precinct-11,15,0011,Precinct-11,7,85,1,93,10,80,0,90
SD,2024,Butte,0012 Precinct-12,15,0012,Precinct-12,10,82,0,92,15,73,0,88
SD,2024,Butte,0013 Precinct-13,15,0013,Precinct-13,26,220,4,250,30,197,0,227
SD,2024,Butte,0014 Precinct-14,15,0014,Precinct-14,37,237,7,281,44,223,0,267
SD,2024,Butte,0016 Precinct-16,15,0016,Precinct-16,118,705,21,844,106,718,0,824
SD,2024,Butte,0017 Precinct-17,15,0017,Precinct-17,68,384,5,457,63,381,0,444
SD,2024,Butte,0018 Precinct-18,15,0018,Precinct-18,34,90,3,127,24,101,0,125
SD,2024,Butte,0020 Precinct-20,15,0020,Precinct-20,44,188,4,236,52,181,0,233
SD,2024,Butte,0021 Precinct-21,15,0021,Precinct-21,64,206,9,279,54,218,0,272
SD,2024,Butte,0022 Precinct-22,15,0022,Precinct-22,43,175,6,224,38,177,0,215
SD,2024,Butte,0023 Precinct-23,15,0023,Precinct-23,66,188,4,258,59,198,0,257
SD,2024,Butte,0024 Precinct-24,15,0024,Precinct-24,103,274,11,388,95,277,0,372
SD,2024,Butte,0025 Precinct-25,15,0025,Precinct-25,107,362,8,477,73,388,0,461
SD,2024,Butte,0026 Precinct-26,15,0026,Precinct-26,57,230,11,298,49,228,0,277
SD,2024,Butte,0027 Precinct-27,15,0027,Precinct-27,51,196,7,254,36,209,0,245
SD,2024,Butte,0028 Precinct-28,15,0028,Precinct-28,105,329,14,448,88,348,0,436
SD,2024,Campbell,0001 Precinct-1,16,0001,Precinct-1,25,119,1,145,17,123,0,140
SD,2024,Campbell,0002 Precinct-2,16,0002,Precinct-2,26,133,4,163,22,133,0,155
SD,2024,Campbell,0003 Precinct-3,16,0003,Precinct-3,24,141,1,166,28,138,0,166
SD,2024,Campbell,0004 Precinct-4,16,0004,Precinct-4,22,138,3,163,19,140,0,159
SD,2024,Campbell,0005 Precinct-5,16,0005,Precinct-5,23,175,1,199,19,170,0,189
SD,2024,Charles Mix,0001 Precinct-01,17,0001,Precinct-01,143,335,3,481,121,357,0,478
SD,2024,Charles Mix,0002 Precinct-02,17,0002,Precinct-02,60,131,1,192,49,142,0,191
SD,2024,Charles Mix,0003 Precinct-03,17,0003,Precinct-03,231,270,13,514,205,312,0,517
SD,2024,Charles Mix,0004 Precinct-04,17,0004,Precinct-04,78,71,3,152,73,81,0,154
SD,2024,Charles Mix,0005 Precinct-05,17,0005,Precinct-05,90,257,7,354,72,278,0,350
SD,2024,Charles Mix,0006 Precinct-06,17,0006,Precinct-06,96,99,2,197,88,110,0,198
SD,2024,Charles Mix,0007 Precinct-07,17,0007,Precinct-07,40,83,4,127,36,89,0,125
SD,2024,Charles Mix,0008 Precinct-08,17,0008,Precinct-08,31,152,4,187,26,158,0,184
SD,2024,Charles Mix,0009 Precinct-09,17,0009,Precinct-09,55,348,7,410,44,366,0,410
SD,2024,Charles Mix,0010 Precinct-10,17,0010,Precinct-10,11,118,2,131,13,115,0,128
SD,2024,Charles Mix,0011 Precinct-11,17,0011,Precinct-11,129,551,11,691,94,599,0,693
SD,2024,Charles Mix,0012 Precinct-12,17,0012,Precinct-12,13,82,4,99,19,77,0,96
SD,2024,Charles Mix,0013 Precinct-13,17,0013,Precinct-13,21,50,3,74,24,50,0,74
SD,2024,Clark,0001 Precinct-01,18,0001,Precinct-01,36,104,9,149,30,117,0,147
SD,2024,Clark,0002 Precinct-02,18,0002,Precinct-02,24,93,3,120,19,97,0,116
SD,2024,Clark,0003 Precinct-03,18,0003,Precinct-03,23,70,4,97,17,78,0,95
SD,2024,Clark,0004 Precinct-04,18,0004,Precinct-04,13,85,3,101,8,93,0,101
SD,2024,Clark,0006 Precinct-06,18,0006,Precinct-06,35,162,4,201,25,173,0,198
SD,2024,Clark,0007 Precinct-07,18,0007,Precinct-07,17,166,2,185,18,173,0,191
SD,2024,Clark,0008 Precinct-08,18,0008,Precinct-08,44,139,5,188,23,164,0,187
SD,2024,Clark,0010 Precinct-10,18,0010,Precinct-10,23,81,4,108,21,89,0,110
SD,2024,Clark,0011 Precinct-11,18,0011,Precinct-11,56,122,4,182,43,127,0,170
SD,2024,Clark,0012 Precinct-12,18,0012,Precinct-12,53,114,3,170,38,128,0,166
SD,2024,Clark,0013 Precinct-13,18,0013,Precinct-13,52,120,3,175,37,138,0,175
SD,2024,Clark,0017 Precinct-09,18,0017,Precinct-09,39,126,1,166,25,136,0,161
