state,election_year,jurisdiction_name,comparison_rep,comparison_dem,comparison_other
SD,2024,Aurora County,1146,222,0
SD,2024,Beadle County,5505,1465,0
SD,2024,Bennett County,730,334,0
SD,2024,Bon Homme County,2373,564,0
SD,2024,Brookings County,10133,4644,0
SD,2024,Brown County,11974,4753,0
SD,2024,Brule County,1881,526,0
SD,2024,Buffalo County,217,240,0
SD,2024,Butte County,4066,838,0
SD,2024,Campbell County,704,105,0
SD,2024,Charles Mix County,2738,866,0
SD,2024,Clark County,1513,304,0
SD,2024,Clay County,3209,2371,0
SD,2024,Codington County,10406,2880,0
SD,2024,Corson County,665,457,0
SD,2024,Custer County,4536,1334,0
SD,2024,Davison County,7131,1934,0
SD,2024,Day County,2118,787,0
SD,2024,Deuel County,1856,404,0
SD,2024,Dewey County,944,894,0
SD,2024,Douglas County,1462,157,0
SD,2024,Edmunds County,1701,302,0
SD,2024,Fall River County,3272,889,0
SD,2024,Faulk County,928,168,0
SD,2024,Grant County,2876,705,0
SD,2024,Gregory County,1880,340,0
SD,2024,Haakon County,991,112,0
SD,2024,Hamlin County,2730,434,0
SD,2024,Hand County,1470,269,0
SD,2024,Hanson County,1665,353,0
SD,2024,Harding County,752,45,0
SD,2024,Hughes County,6342,2019,0
SD,2024,Hutchinson County,3166,534,0
SD,2024,Hyde County,580,103,0
SD,2024,Jackson County,783,329,0
SD,2024,Jerauld County,816,184,0
SD,2024,Jones County,477,62,0
SD,2024,Kingsbury County,2209,571,0
SD,2024,Lake County,4406,1456,0
SD,2024,Lawrence County,10757,4288,0
SD,2024,Lincoln County,25901,9954,0
SD,2024,Lyman County,1099,318,0
SD,2024,Marshall County,1489,609,0
SD,2024,McCook County,2460,554,0
SD,2024,McPherson County,1077,160,0
SD,2024,Meade County,11439,2855,0
SD,2024,Mellette County,370,253,0
SD,2024,Miner County,934,209,0
SD,2024,Minnehaha County,60016,32303,0
SD,2024,Moody County,2268,889,0
SD,2024,Oglala Lakota County,720,2313,0
SD,2024,Pennington County,38628,16727,0
SD,2024,Perkins County,1395,182,0
SD,2024,Potter County,1109,173,0
SD,2024,Roberts County,2827,1272,0
SD,2024,Sanborn County,1023,188,0
SD,2024,Spink County,2430,685,0
SD,2024,Stanley County,1355,335,0
SD,2024,Sully County,719,147,0
SD,2024,Todd County,690,1407,0
SD,2024,Tripp County,2232,379,0
SD,2024,Turner County,3688,813,0
SD,2024,Union County,6650,2057,0
SD,2024,Walworth County,2005,401,0
SD,2024,Yankton County,7564,3046,0
SD,2024,Ziebach County,434,347,0
