state,election_year,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
SD,2024,Aurora County,Aurora County,Aurora County,jurisdiction,1416,1834,77.21,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Beadle County,Beadle County,Beadle County,jurisdiction,7163,10188,70.31,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Bennett County,Bennett County,Bennett County,jurisdiction,1102,1824,60.42,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Bon Homme County,Bon Homme County,Bon Homme County,jurisdiction,3058,3980,76.83,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Brookings County,Brookings County,Brookings County,jurisdiction,15255,21587,70.67,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Brown County,Brown County,Brown County,jurisdiction,17353,25781,67.31,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Brule County,Brule County,Brule County,jurisdiction,2472,3347,73.86,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Buffalo County,Buffalo County,Buffalo County,jurisdiction,475,857,55.43,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Butte County,Butte County,Butte County,jurisdiction,5137,6942,74.00,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Campbell County,Campbell County,Campbell County,jurisdiction,847,1130,74.96,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Charles Mix County,Charles Mix County,Charles Mix County,jurisdiction,3672,5439,67.51,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Clark County,Clark County,Clark County,jurisdiction,1883,2605,72.28,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Clay County,Clay County,Clay County,jurisdiction,5777,8556,67.52,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Codington County,Codington County,Codington County,jurisdiction,13767,18853,73.02,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Corson County,Corson County,Corson County,jurisdiction,1157,2284,50.66,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Custer County,Custer County,Custer County,jurisdiction,6074,7994,75.98,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Davison County,Davison County,Davison County,jurisdiction,9335,13090,71.31,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
SD,2024,Day County,Day County,Day County,jurisdiction,2989,3942,75.82,activeVoters,electionDay,"Official SOS active-voter denominator as of November 5, 2024; the turnout table labels the column Registered Voters and the registration table identifies the corresponding values as Total Active.",false,https://sdsos.gov/elections-voting/assets/Archive/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,South Dakota Official Election Returns and Registration Figures,official
