state,election_year,jurisdiction_name,county,local_unit,source_display_name,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
SD,2012,Aurora County,Aurora County,Aurora County,Aurora County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,556,804,40,1400
SD,2012,Beadle County,Beadle County,Beadle County,Beadle County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,2881,4230,152,7263
SD,2012,Bennett County,Bennett County,Bennett County,Bennett County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,548,626,29,1203
SD,2012,Bon Homme County,Bon Homme County,Bon Homme County,Bon Homme County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,1167,1830,77,3074
SD,2012,Brookings County,Brookings County,Brookings County,Brookings County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,5827,6220,353,12400
SD,2012,Brown County,Brown County,Brown County,Brown County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,7250,8321,497,16068
SD,2012,Brule County,Brule County,Brule County,Brule County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,824,1499,56,2379
SD,2012,Buffalo County,Buffalo County,Buffalo County,Buffalo County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,472,166,3,641
SD,2012,Butte County,Butte County,Butte County,Butte County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,1002,3073,133,4208
SD,2012,Campbell County,Campbell County,Campbell County,Campbell County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,153,616,18,787
SD,2012,Charles Mix County,Charles Mix County,Charles Mix County,Charles Mix County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,1483,2230,51,3764
SD,2012,Clark County,Clark County,Clark County,Clark County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,713,1067,41,1821
SD,2012,Clay County,Clay County,Clay County,Clay County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,2955,2147,132,5234
SD,2012,Codington County,Codington County,Codington County,Codington County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,4588,6696,240,11524
SD,2012,Corson County,Corson County,Corson County,Corson County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,648,515,37,1200
SD,2012,Custer County,Custer County,Custer County,Custer County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,1335,3062,123,4520
SD,2012,Davison County,Davison County,Davison County,Davison County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,3042,4757,172,7971
SD,2012,Day County,Day County,Day County,Day County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,1497,1320,56,2873
SD,2012,Deuel County,Deuel County,Deuel County,Deuel County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,941,1175,55,2171
SD,2012,Dewey County,Dewey County,Dewey County,Dewey County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,1207,663,25,1895
SD,2012,Douglas County,Douglas County,Douglas County,Douglas County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,332,1334,24,1690
SD,2012,Edmunds County,Edmunds County,Edmunds County,Edmunds County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,622,1264,50,1936
SD,2012,Fall River County,Fall River County,Fall River County,Fall River County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,1140,2258,118,3516
SD,2012,Faulk County,Faulk County,Faulk County,Faulk County,sd-historical-presidential-official-county,county,sdOfficialCountyPresidentialPdfTable,https://sdsos.gov/elections-voting/assets/Archive/2012%20Assets/2012generalelectionstatewidecandidatesbycounty.pdf,331,765,31,1127
