state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,source_url
TN,2024,Anderson County,Andersonville,301,1714,15,2030,309,1661,24,1994,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Briceville,41,364,4,409,50,342,7,399,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Brushy Valley,146,695,6,847,151,670,13,834,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Bull Run,543,1777,28,2348,555,1719,42,2316,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Claxton,403,1183,15,1601,419,1123,41,1583,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Clinton,694,1646,23,2363,712,1578,35,2325,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Clinton High,274,803,11,1088,266,783,21,1070,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Clinton Middle,156,692,3,851,159,659,15,833,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Dutch Valley,67,374,5,446,71,360,9,440,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Emory Valley,1049,928,31,2008,1018,929,44,1991,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Fairview,122,763,4,889,133,736,10,879,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Glen Alpine,380,1588,12,1980,385,1534,30,1949,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Glenwood,811,857,28,1696,807,816,50,1673,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Hendrix Creek,1044,1175,29,2248,1027,1182,29,2238,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
