state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
TN,2020,Anderson County,Anderson County,Anderson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,11741,23184,645,35570
TN,2020,Bedford County,Bedford County,Bedford County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,4453,14354,281,19088
TN,2020,Benton County,Benton County,Benton County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1529,5668,63,7260
TN,2020,Bledsoe County,Bledsoe County,Bledsoe County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,971,4725,62,5758
TN,2020,Blount County,Blount County,Blount County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,17932,47369,1308,66609
TN,2020,Bradley County,Bradley County,Bradley County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,9851,35204,810,45865
TN,2020,Campbell County,Campbell County,Campbell County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2441,12331,161,14933
TN,2020,Cannon County,Cannon County,Cannon County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1261,5190,106,6557
TN,2020,Carroll County,Carroll County,Carroll County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2559,9205,141,11905
TN,2020,Carter County,Carter County,Carter County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,4529,19584,379,24492
TN,2020,Cheatham County,Cheatham County,Cheatham County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,5514,14438,308,20260
TN,2020,Chester County,Chester County,Chester County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1412,5952,220,7584
TN,2020,Claiborne County,Claiborne County,Claiborne County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2202,10604,139,12945
TN,2020,Clay County,Clay County,Clay County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,735,2733,38,3506
TN,2020,Cocke County,Cocke County,Cocke County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2533,12162,164,14859
TN,2020,Coffee County,Coffee County,Coffee County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,5705,17883,694,24282
TN,2020,Crockett County,Crockett County,Crockett County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1382,4673,59,6114
TN,2020,Cumberland County,Cumberland County,Cumberland County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,6728,25168,383,32279
TN,2020,Davidson County,Davidson County,Davidson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,199703,100218,9737,309658
TN,2020,Decatur County,Decatur County,Decatur County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,904,4229,108,5241
TN,2020,DeKalb County,DeKalb County,DeKalb County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1750,6672,91,8513
TN,2020,Dickson County,Dickson County,Dickson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,6106,17643,574,24323
TN,2020,Dyer County,Dyer County,Dyer County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,3158,11768,153,15079
TN,2020,Fayette County,Fayette County,Fayette County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,7027,15690,267,22984
TN,2020,Fentress County,Fentress County,Fentress County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1214,7441,74,8729
TN,2020,Franklin County,Franklin County,Franklin County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,4864,13987,281,19132
TN,2020,Gibson County,Gibson County,Gibson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,5771,16259,305,22335
TN,2020,Giles County,Giles County,Giles County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,3298,9784,121,13203
TN,2020,Grainger County,Grainger County,Grainger County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1467,8565,102,10134
TN,2020,Greene County,Greene County,Greene County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,5199,22259,629,28087
TN,2020,Grundy County,Grundy County,Grundy County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,988,4802,65,5855
TN,2020,Hamblen County,Hamblen County,Hamblen County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,5500,18811,320,24631
TN,2020,Hamilton County,Hamilton County,Hamilton County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,75522,92108,3483,171113
TN,2020,Hancock County,Hancock County,Hancock County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,362,2372,10,2744
TN,2020,Hardeman County,Hardeman County,Hardeman County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,4180,5760,123,10063
TN,2020,Hardin County,Hardin County,Hardin County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1775,9559,204,11538
TN,2020,Hawkins County,Hawkins County,Hawkins County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,4083,20405,336,24824
TN,2020,Haywood County,Haywood County,Haywood County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,4012,3343,84,7439
TN,2020,Henderson County,Henderson County,Henderson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2092,9797,131,12020
TN,2020,Henry County,Henry County,Henry County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,3548,11239,260,15047
TN,2020,Hickman County,Hickman County,Hickman County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2130,7577,125,9832
TN,2020,Houston County,Houston County,Houston County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,871,2718,97,3686
TN,2020,Humphreys County,Humphreys County,Humphreys County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2017,6120,99,8236
TN,2020,Jackson County,Jackson County,Jackson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1135,4118,70,5323
TN,2020,Jefferson County,Jefferson County,Jefferson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,4654,18651,311,23616
TN,2020,Johnson County,Johnson County,Johnson County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1246,6468,87,7801
TN,2020,Knox County,Knox County,Knox County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,91422,124540,4594,220556
TN,2020,Lake County,Lake County,Lake County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,526,1492,16,2034
TN,2020,Lauderdale County,Lauderdale County,Lauderdale County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,3193,5674,98,8965
TN,2020,Lawrence County,Lawrence County,Lawrence County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,3195,15334,189,18718
TN,2020,Lewis County,Lewis County,Lewis County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1072,4474,63,5609
TN,2020,Lincoln County,Lincoln County,Lincoln County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,2919,12281,408,15608
TN,2020,Loudon County,Loudon County,Loudon County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,6948,21713,686,29347
TN,2020,Macon County,Macon County,Macon County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,1307,8096,84,9487
TN,2020,Madison County,Madison County,Madison County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,18390,23943,617,42950
TN,2020,Marion County,Marion County,Marion County,tn-historical-presidential-baseline,county,tennesseeSosCountyPdfHistorical,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20by%20County.pdf,3177,9911,168,13256
