county,certified_total,vtd_total,total_delta_vtd_minus_certified,trump_delta_vtd_minus_certified,harris_delta_vtd_minus_certified,other_delta_vtd_minus_certified,named_minor_delta_vtd_minus_certified,vtd_generic_write_in,certified_declared_write_in,write_in_delta_vtd_generic_minus_certified_declared
"Anderson County","19358","19381","23","0","0","23","0","28","5","23"
"Andrews County","6060","6059","-1","0","0","-1","0","0","1","-1"
"Angelina County","34422","34476","54","0","0","54","0","57","3","54"
"Aransas County","13031","13031","0","0","0","0","0","3","3","0"
"Archer County","5132","5132","0","0","0","0","0","0","0","0"
"Armstrong County","1109","1114","5","0","0","5","0","5","0","5"
"Atascosa County","18444","18468","24","0","0","24","0","26","2","24"
"Austin County","15383","15415","32","0","0","32","0","36","4","32"
"Bailey County","1741","1740","-1","0","0","-1","0","0","1","-1"
"Bandera County","13600","13600","0","0","0","0","0","8","8","0"
"Bastrop County","39806","39917","111","0","0","111","0","129","18","111"
"Baylor County","1675","1672","-3","-2","-1","0","0","5","5","0"
"Bee County","8790","8790","0","0","0","0","0","1","1","0"
"Bell County","130662","131013","351","0","0","351","0","456","105","351"
"Bexar County","758323","760023","1700","0","0","1700","0","2476","776","1700"
"Blanco County","8523","8546","23","0","0","23","0","28","5","23"
"Borden County","387","387","0","0","0","0","0","0","0","0"
"Bosque County","9576","9586","10","0","0","10","0","15","5","10"
"Bowie County","36644","36711","67","0","0","67","0","82","15","67"
"Brazoria County","162046","162046","0","0","0","0","0","96","96","0"
"Brazos County","91961","91961","0","0","0","0","0","114","114","0"
"Brewster County","4578","4578","0","0","0","0","0","2","2","0"
"Briscoe County","745","745","0","0","0","0","0","1","1","0"
"Brooks County","2402","2402","0","0","0","0","0","0","0","0"
"Brown County","16853","16850","-3","-2","-1","0","0","0","0","0"
"Burleson County","9369","9365","-4","-2","-2","0","0","4","4","0"
"Burnet County","28153","28153","0","0","0","0","0","6","6","0"
"Caldwell County","15693","15737","44","0","0","44","0","51","7","44"
"Calhoun County","7832","7841","9","0","0","9","0","9","0","9"
"Callahan County","6988","6988","0","0","0","0","0","3","3","0"
"Cameron County","116153","116309","156","0","0","156","0","187","31","156"
"Camp County","5242","5253","11","0","0","11","0","11","0","11"
"Carson County","3177","3177","0","0","0","0","0","5","5","0"
"Cass County","14143","14143","0","0","0","0","0","3","3","0"
"Castro County","2023","2023","0","0","0","0","0","2","2","0"
"Chambers County","24973","24958","-15","-10","-5","0","0","2","2","0"
"Cherokee County","20507","20507","0","0","0","0","0","5","5","0"
"Childress County","2272","2274","2","0","0","2","0","2","0","2"
"Clay County","5908","5918","10","0","0","10","0","12","2","10"
"Cochran County","893","893","0","0","0","0","0","0","0","0"
"Coke County","1814","1814","0","0","0","0","0","0","0","0"
"Coleman County","4156","4164","8","0","0","8","0","9","1","8"
"Collin County","515585","517690","2105","0","0","2105","0","2523","418","2105"
"Collingsworth County","1201","1201","0","0","0","0","0","0","0","0"
"Colorado County","9994","10012","18","0","0","18","0","18","0","18"
"Comal County","103491","103491","0","0","0","0","0","26","26","0"
"Comanche County","6544","6544","0","0","0","0","0","0","0","0"
"Concho County","1198","1198","0","0","0","0","0","0","0","0"
"Cooke County","20447","20447","0","0","0","0","0","15","15","0"
"Coryell County","23926","23835","-91","-69","-21","-1","-1","15","15","0"
"Cottle County","657","657","0","0","0","0","0","0","0","0"
"Crane County","1389","1390","1","0","0","1","0","3","2","1"
"Crockett County","1417","1420","3","0","0","3","0","3","0","3"
"Crosby County","1880","1880","0","0","0","0","0","0","0","0"
"Culberson County","781","781","0","0","0","0","0","0","0","0"
"Dallam County","1447","1447","0","0","0","0","0","0","0","0"
"Dallas County","849872","853336","3464","-101","-91","3656","-6","4586","924","3662"
"Dawson County","3513","3513","0","0","0","0","0","2","2","0"
"Deaf Smith County","4286","4286","0","0","0","0","0","0","0","0"
"Delta County","2658","2658","0","0","0","0","0","0","0","0"
"Denton County","449188","449188","0","0","0","0","0","459","459","0"
"Dewitt County","7825","7825","0","0","0","0","0","1","1","0"
"Dickens County","993","993","0","0","0","0","0","0","0","0"
"Dimmit County","3427","3407","-20","-5","-15","0","-1","1","0","1"
"Donley County","1712","1712","0","0","0","0","0","0","0","0"
"Duval County","4461","4447","-14","-4","-10","0","0","0","0","0"
"Eastland County","8364","8357","-7","-1","-6","0","0","1","1","0"
"Ector County","42615","42748","133","38","19","76","1","75","0","75"
"Edwards County","1005","1005","0","0","0","0","0","0","0","0"
"El Paso County","251569","252005","436","0","0","436","0","634","198","436"
"Ellis County","99557","99818","261","0","0","261","0","333","72","261"
"Erath County","18351","18400","49","0","0","49","0","50","1","49"
"Falls County","6277","6277","0","0","0","0","0","1","1","0"
"Fannin County","16395","16395","0","0","0","0","0","10","10","0"
"Fayette County","13331","13359","28","0","0","28","0","32","4","28"
"Fisher County","1830","1834","4","0","0","4","0","5","1","4"
"Floyd County","2090","2090","0","0","0","0","0","1","1","0"
"Foard County","545","545","0","0","0","0","0","0","0","0"
"Fort Bend County","362524","363515","991","0","0","991","0","1256","265","991"
"Franklin County","5311","5311","0","0","0","0","0","1","1","0"
"Freestone County","9045","9056","11","9","1","1","1","0","0","0"
"Frio County","4945","4939","-6","0","0","-6","0","6","12","-6"
"Gaines County","6416","6416","0","0","0","0","0","0","0","0"
"Galveston County","158996","158996","0","0","0","0","0","63","63","0"
"Garza County","1599","1602","3","0","0","3","0","3","0","3"
"Gillespie County","16492","16492","0","0","0","0","0","10","10","0"
"Glasscock County","663","663","0","0","0","0","0","0","0","0"
"Goliad County","3987","3990","3","0","0","3","0","6","3","3"
"Gonzales County","7755","7769","14","0","0","14","0","14","0","14"
"Gray County","7580","7581","1","0","0","1","0","1","0","1"
"Grayson County","65915","66041","126","0","0","126","0","153","27","126"
"Gregg County","46738","46738","0","0","0","0","0","39","39","0"
"Grimes County","14051","14051","0","0","0","0","0","8","8","0"
"Guadalupe County","85136","85350","214","0","0","214","0","253","39","214"
"Hale County","9285","9285","0","0","0","0","0","7","7","0"
