state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
TX,2012,Anderson County,Anderson County,Anderson County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,3813,12262,137,16212
TX,2012,Andrews County,Andrews County,Andrews County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,795,3639,48,4482
TX,2012,Angelina County,Angelina County,Angelina County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,7834,20303,269,28406
TX,2012,Aransas County,Aransas County,Aransas County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,2704,6830,114,9648
TX,2012,Archer County,Archer County,Archer County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,525,3600,39,4164
TX,2012,Armstrong County,Armstrong County,Armstrong County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,98,828,9,935
TX,2012,Atascosa County,Atascosa County,Atascosa County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,5133,7461,127,12721
TX,2012,Austin County,Austin County,Austin County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,2252,9265,132,11649
TX,2012,Bailey County,Bailey County,Bailey County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,466,1339,11,1816
TX,2012,Bandera County,Bandera County,Bandera County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1864,7426,158,9448
TX,2012,Bastrop County,Bastrop County,Bastrop County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,9864,14033,584,24481
TX,2012,Baylor County,Baylor County,Baylor County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,267,1297,28,1592
TX,2012,Bee County,Bee County,Bee County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,3452,4356,71,7879
TX,2012,Bell County,Bell County,Bell County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,35512,49574,1339,86425
TX,2012,Bexar County,Bexar County,Bexar County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,264856,241617,8237,514710
TX,2012,Blanco County,Blanco County,Blanco County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1220,3638,115,4973
TX,2012,Borden County,Borden County,Borden County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,32,324,7,363
TX,2012,Bosque County,Bosque County,Bosque County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1367,5885,104,7356
TX,2012,Bowie County,Bowie County,Bowie County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,10196,24869,339,35404
TX,2012,Brazoria County,Brazoria County,Brazoria County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,34421,70862,1456,106739
TX,2012,Brazos County,Brazos County,Brazos County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,17477,37209,1276,55962
TX,2012,Brewster County,Brewster County,Brewster County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1765,1976,126,3867
TX,2012,Briscoe County,Briscoe County,Briscoe County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,117,578,7,702
TX,2012,Brooks County,Brooks County,Brooks County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1886,507,10,2403
TX,2012,Brown County,Brown County,Brown County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1904,11895,148,13947
TX,2012,Burleson County,Burleson County,Burleson County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1705,4671,80,6456
TX,2012,Burnet County,Burnet County,Burnet County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,3674,12843,279,16796
TX,2012,Caldwell County,Caldwell County,Caldwell County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,4791,6021,256,11068
TX,2012,Calhoun County,Calhoun County,Calhoun County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,2410,4144,94,6648
TX,2012,Callahan County,Callahan County,Callahan County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,751,4378,68,5197
TX,2012,Cameron County,Cameron County,Cameron County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,49975,26099,821,76895
TX,2012,Camp County,Camp County,Camp County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,1428,2881,26,4335
TX,2012,Carson County,Carson County,Carson County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,292,2451,35,2778
TX,2012,Cass County,Cass County,Cass County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,2924,8763,101,11788
TX,2012,Castro County,Castro County,Castro County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,630,1470,19,2119
TX,2012,Chambers County,Chambers County,Chambers County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,2790,11787,158,14735
TX,2012,Cherokee County,Cherokee County,Cherokee County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,3875,12094,157,16126
TX,2012,Childress County,Childress County,Childress County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,320,1665,11,1996
TX,2012,Clay County,Clay County,Clay County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,740,4266,51,5057
TX,2012,Cochran County,Cochran County,Cochran County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,256,649,12,917
TX,2012,Coke County,Coke County,Coke County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,179,1218,11,1408
TX,2012,Coleman County,Coleman County,Coleman County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,442,3012,38,3492
TX,2012,Collin County,Collin County,Collin County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,101415,196888,5264,303567
TX,2012,Collingsworth County,Collingsworth County,Collingsworth County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,177,962,11,1150
TX,2012,Colorado County,Colorado County,Colorado County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,2029,6026,62,8117
TX,2012,Comal County,Comal County,Comal County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,11450,39318,761,51529
TX,2012,Comanche County,Comanche County,Comanche County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,890,3944,72,4906
TX,2012,Concho County,Concho County,Concho County,tx-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Texas,194,793,14,1001
