state,election_year,jurisdiction_name,comparison_dem,comparison_rep,comparison_other
UT,2024,Beaver County,299,2537,278
UT,2024,Box Elder County,3647,21581,3286
UT,2024,Cache County,12343,38140,8459
UT,2024,Carbon County,2196,6126,884
UT,2024,Daggett County,78,426,28
UT,2024,Davis County,37809,96989,27566
UT,2024,Duchesne County,768,7178,862
UT,2024,Emery County,483,4069,361
UT,2024,Garfield County,410,2121,199
UT,2024,Grand County,2389,2213,546
UT,2024,Iron County,4034,20047,3104
UT,2024,Juab County,535,5032,774
UT,2024,Kane County,900,3117,336
UT,2024,Millard County,520,5120,637
UT,2024,Morgan County,807,5249,699
UT,2024,Piute County,68,832,42
UT,2024,Rich County,148,1152,115
UT,2024,Salt Lake County,205331,215066,73700
UT,2024,San Juan County,2169,3373,604
UT,2024,Sanpete County,1325,9751,1673
UT,2024,Sevier County,850,9011,830
UT,2024,Summit County,11669,10694,2510
UT,2024,Tooele County,7316,21064,4209
UT,2024,Uintah County,1506,12644,1310
UT,2024,Utah County,51326,193005,48212
UT,2024,Wasatch County,4680,11144,2203
UT,2024,Washington County,16753,66778,11448
UT,2024,Wayne County,282,1181,140
UT,2024,Weber County,30593,62805,14801
