state,election_year,jurisdiction_name,harris,trump,other
UT,2024,Beaver County,394,2781,37
UT,2024,Box Elder County,5274,22853,793
UT,2024,Cache County,18718,39457,2083
UT,2024,Carbon County,2525,6719,201
UT,2024,Daggett County,101,443,6
UT,2024,Davis County,59895,101293,5382
UT,2024,Duchesne County,1009,7815,144
UT,2024,Emery County,603,4341,67
UT,2024,Garfield County,541,2211,59
UT,2024,Grand County,2828,2327,145
UT,2024,Iron County,5683,21571,624
UT,2024,Juab County,734,5671,113
UT,2024,Kane County,1137,3277,74
UT,2024,Millard County,713,5558,116
UT,2024,Morgan County,1256,5300,204
UT,2024,Piute County,94,854,15
UT,2024,Rich County,214,1211,22
UT,2024,Salt Lake County,273658,221555,14424
UT,2024,San Juan County,2581,3613,135
UT,2024,Sanpete County,1906,10653,385
UT,2024,Sevier County,1236,9526,164
UT,2024,Summit County,14612,10783,481
UT,2024,Tooele County,9560,23484,962
UT,2024,Uintah County,1952,13599,281
UT,2024,Utah County,84937,203476,9730
UT,2024,Wasatch County,6459,11495,400
UT,2024,Washington County,22327,73165,1764
UT,2024,Wayne County,381,1238,32
UT,2024,Weber County,41238,67549,3267
