state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
UT,2024,UT-001,Beaver County,Beaver County,Beaver County,county,3252,3793,85.74,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-002,Box Elder County,Box Elder County,Box Elder County,county,29668,33569,88.38,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-003,Cache County,Cache County,Cache County,county,62148,72011,86.30,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-004,Carbon County,Carbon County,Carbon County,county,9610,11517,83.44,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-005,Daggett County,Daggett County,Daggett County,county,557,651,85.56,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-006,Davis County,Davis County,Davis County,county,172869,202927,85.19,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-007,Duchesne County,Duchesne County,Duchesne County,county,9067,10630,85.30,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-008,Emery County,Emery County,Emery County,county,5077,5885,86.27,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-009,Garfield County,Garfield County,Garfield County,county,2857,3216,88.84,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-010,Grand County,Grand County,Grand County,county,5371,5872,91.47,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-011,Iron County,Iron County,Iron County,county,28455,32149,88.51,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-012,Juab County,Juab County,Juab County,county,6616,7506,88.14,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-013,Kane County,Kane County,Kane County,county,4560,5106,89.31,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-014,Millard County,Millard County,Millard County,county,6500,7382,88.05,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-015,Morgan County,Morgan County,Morgan County,county,7005,8009,87.46,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-016,Piute County,Piute County,Piute County,county,977,1094,89.31,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
UT,2024,UT-017,Rich County,Rich County,Rich County,county,1465,1585,92.43,activeVoters,countyStandardizedCanvass,"Utah county standardized canvass G24 active voters; total ballots counted is the county canvass total, not presidential contest votes.",false,https://vote.utah.gov/wp-content/uploads/2025/12/Master-Aggregated-Numbers-2023-2025.xlsx,Utah aggregated county standardized canvass statistics 2023-2025,loaded
