"CandidateId","CandidateName","TOTAL_VOTES","Party","WriteInVote","LocalityCode","LocalityName","PrecinctId","PrecinctName","DistrictId","DistrictType","DistrictName","OfficeId","OfficeTitle","ElectionId","ElectionType","ElectionDate","ElectionName","NumberOfSeats"
"cs320","Chase R. Oliver","6","Libertarian","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed2","state","United States Of America","cc122","President and Vice President","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs321","Claudia De la Cruz","1","Independent","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed2","state","United States Of America","cc122","President and Vice President","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs322","Cornel R. West","1","Independent","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed2","state","United States Of America","cc122","President and Vice President","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs860","Denise P. Bowden","1162","","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed6830","town","CHINCOTEAGUE","cc319","Mayor - Chincoteague (Town of Chincoteague)","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs318","Donald J. Trump","1406","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed2","state","United States Of America","cc122","President and Vice President","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs1004","Gene Wayne Taylor","1050","","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed6830","town","CHINCOTEAGUE","cc376","Member Town Council - Chincoteague (Town of Chincoteague)","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","3"
"cs535","Hung Cao","1340","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed2","state","United States Of America","cc200","Member, United States Senate","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs861","J. Arthur Leonard","894","","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed6830","town","CHINCOTEAGUE","cc319","Mayor - Chincoteague (Town of Chincoteague)","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs455","Jen A. Kiggans","1405","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed6009","congressional","02","cc166","Member, House of Representatives (2nd District)","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
"cs319","Jill E. Stein","2","Green","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed2","state","United States Of America","cc122","President and Vice President","17aaeea0-ec2f-498a-a32a-b15539b89bd0","General","2024-11-05","2024 November General","1"
