state,election_year,jurisdiction_name,county,local_unit,jurisdiction_tag,source_id,source_level,row_method,source_url,source_title,dem_votes,rep_votes,other_votes,total_votes
VT,2020,Addison County,Addison County,Addison County,county:50001,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,14967,6292,763,22022
VT,2020,Bennington County,Bennington County,Bennington County,county:50003,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,12705,7114,643,20462
VT,2020,Caledonia County,Caledonia County,Caledonia County,county:50005,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,9011,6551,607,16169
VT,2020,Chittenden County,Chittenden County,Chittenden County,county:50007,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,74961,21017,2937,98915
VT,2020,Essex County,Essex County,Essex County,county:50009,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,1405,1773,110,3288
VT,2020,Franklin County,Franklin County,Franklin County,county:50011,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,13611,11274,945,25830
VT,2020,Grand Isle County,Grand Isle County,Grand Isle County,county:50013,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,2905,1810,136,4851
VT,2020,Lamoille County,Lamoille County,Lamoille County,county:50015,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,10240,4163,512,14915
VT,2020,Orange County,Orange County,Orange County,county:50017,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,10304,6187,631,17122
VT,2020,Orleans County,Orleans County,Orleans County,county:50019,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,7147,6512,437,14096
VT,2020,Rutland County,Rutland County,Rutland County,county:50021,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,18230,14672,1068,33970
VT,2020,Washington County,Washington County,Washington County,county:50023,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,25191,8928,1188,35307
VT,2020,Windham County,Windham County,Windham County,county:50025,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,18767,6440,828,26035
VT,2020,Windsor County,Windsor County,Windsor County,county:50027,vt-historical-presidential-baseline,county_aggregate_from_official_municipality_rows,vermontElectionArchiveMunicipalityCsvCountyAggregate,https://electionarchive.vermont.gov/elections/download/144513/precincts_include:0/,Vermont Secretary of State VT Elections Database 2020 President municipality export,23376,9971,1099,34446
