state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
WA,2020,Adams County,Adams County,Adams County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,1814,3907,141,5862
WA,2020,Asotin County,Asotin County,Asotin County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,4250,7319,382,11951
WA,2020,Benton County,Benton County,Benton County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,38706,60365,3962,103033
WA,2020,Chelan County,Chelan County,Chelan County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,19349,22746,1211,43306
WA,2020,Clallam County,Clallam County,Clallam County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,24721,23062,1481,49264
WA,2020,Clark County,Clark County,Clark County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,140324,126303,8776,275403
WA,2020,Columbia County,Columbia County,Columbia County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,668,1754,73,2495
WA,2020,Cowlitz County,Cowlitz County,Cowlitz County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,23938,34424,1918,60280
WA,2020,Douglas County,Douglas County,Douglas County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,7811,12955,542,21308
WA,2020,Ferry County,Ferry County,Ferry County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,1486,2771,110,4367
WA,2020,Franklin County,Franklin County,Franklin County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,13340,18039,1025,32404
WA,2020,Garfield County,Garfield County,Garfield County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,366,1069,54,1489
WA,2020,Grant County,Grant County,Grant County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,11819,24764,1097,37680
WA,2020,Grays Harbor County,Grays Harbor County,Grays Harbor County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,17354,19877,1210,38441
WA,2020,Island County,Island County,Island County,wa-2020-all-counties-csv,county,washingtonOfficialCountyCsvHistorical,https://results.vote.wa.gov/results/20201103/export/20201103_AllCounties.csv,29213,22746,1966,53925
