state,electionYear,auditName,county,municipality,reportingUnit,auditableEquipment,ballotsAudited,sourceDocumentId,sourceUrl
WI,2024,2024 Post-Election Voting Equipment Audit,Adams,T. Adams,Wards 1-3,ES&S DS200,800,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Adams,T. Jackson,Wards 1-2,ES&S DS200,775,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Adams,T. New Haven,Ward 1,ES&S DS200,420,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Adams,T. Strongs Prairie,Wards 1-2,ES&S DS200,816,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Ashland,T. Sanborn,Wards 1-2,ES&S DS200,535,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Barron,T. Arland,Ward 1,ES&S DS200,366,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Barron,T. Chetek,Wards 1-3,ES&S DS200,1263,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Barron,T. Doyle,Wards 1-2,ES&S DS200,354,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Barron,T. Sumner,Ward 1,ES&S DS200,474,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
WI,2024,2024 Post-Election Voting Equipment Audit,Barron,T. Vance Creek,Ward 1,ES&S DS200,423,wi-2024-post-election-voting-equipment-audit-final-report,https://elections.wi.gov/sites/default/files/documents/2024%20Post-Election%20Voting%20Equipment%20Audit%20Final%20Report.pdf
