"state","election_year","jurisdiction_code","jurisdiction_name","county","local_unit","registered_voters","source_field","source_url","codebook_url","warning_required","notes"
"WI","2024","00100","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","MULTIPLE COUNTIES","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","886","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00175","TOWN OF ABRAMS - OCONTO COUNTY","OCONTO COUNTY","TOWN OF ABRAMS - OCONTO COUNTY","1555","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00225","TOWN OF ACKLEY - LANGLADE COUNTY","LANGLADE COUNTY","TOWN OF ACKLEY - LANGLADE COUNTY","349","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00275","CITY OF ADAMS - ADAMS COUNTY","ADAMS COUNTY","CITY OF ADAMS - ADAMS COUNTY","1059","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00300","TOWN OF ADAMS - ADAMS COUNTY","ADAMS COUNTY","TOWN OF ADAMS - ADAMS COUNTY","922","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00325","TOWN OF ADAMS - GREEN COUNTY","GREEN COUNTY","TOWN OF ADAMS - GREEN COUNTY","393","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00350","TOWN OF ADAMS - JACKSON COUNTY","JACKSON COUNTY","TOWN OF ADAMS - JACKSON COUNTY","1007","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00425","TOWN OF ADDISON - WASHINGTON COUNTY","WASHINGTON COUNTY","TOWN OF ADDISON - WASHINGTON COUNTY","2451","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00450","VILLAGE OF ADELL - SHEBOYGAN COUNTY","SHEBOYGAN COUNTY","VILLAGE OF ADELL - SHEBOYGAN COUNTY","338","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00475","TOWN OF ADRIAN - MONROE COUNTY","MONROE COUNTY","TOWN OF ADRIAN - MONROE COUNTY","546","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00550","TOWN OF AGENDA - ASHLAND COUNTY","ASHLAND COUNTY","TOWN OF AGENDA - ASHLAND COUNTY","302","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00600","TOWN OF AHNAPEE - KEWAUNEE COUNTY","KEWAUNEE COUNTY","TOWN OF AHNAPEE - KEWAUNEE COUNTY","598","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00625","TOWN OF AINSWORTH - LANGLADE COUNTY","LANGLADE COUNTY","TOWN OF AINSWORTH - LANGLADE COUNTY","398","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00675","TOWN OF AKAN - RICHLAND COUNTY","RICHLAND COUNTY","TOWN OF AKAN - RICHLAND COUNTY","274","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00725","TOWN OF ALBAN - PORTAGE COUNTY","PORTAGE COUNTY","TOWN OF ALBAN - PORTAGE COUNTY","632","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00750","VILLAGE OF ALBANY - GREEN COUNTY","GREEN COUNTY","VILLAGE OF ALBANY - GREEN COUNTY","651","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00775","TOWN OF ALBANY - GREEN COUNTY","GREEN COUNTY","TOWN OF ALBANY - GREEN COUNTY","858","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00800","TOWN OF ALBANY - PEPIN COUNTY","PEPIN COUNTY","TOWN OF ALBANY - PEPIN COUNTY","420","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00875","TOWN OF ALBION - DANE COUNTY","DANE COUNTY","TOWN OF ALBION - DANE COUNTY","1486","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00900","TOWN OF ALBION - JACKSON COUNTY","JACKSON COUNTY","TOWN OF ALBION - JACKSON COUNTY","773","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00925","TOWN OF ALBION - TREMPEALEAU COUNTY","TREMPEALEAU COUNTY","TOWN OF ALBION - TREMPEALEAU COUNTY","455","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
"WI","2024","00950","TOWN OF ALDEN - POLK COUNTY","POLK COUNTY","TOWN OF ALDEN - POLK COUNTY","2296","A1a Total Reg","https://www.eac.gov/sites/default/files/2026-02/2024_EAVS_for_Public_Release_nolabel_V2_csv.zip","https://www.eac.gov/sites/default/files/2025-06/2024_EAVS_Codebook.xlsx","false","EAC 2024 EAVS V2 A1a Total Reg registered-voter denominator."
