state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
WI,2012,Adams County,Adams County,Adams County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,5552,4644,101,10297
WI,2012,Ashland County,Ashland County,Ashland County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,5399,2820,153,8372
WI,2012,Barron County,Barron County,Barron County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,10890,11443,359,22692
WI,2012,Bayfield County,Bayfield County,Bayfield County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,6033,3603,152,9788
WI,2012,Brown County,Brown County,Brown County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,62526,64836,1566,128928
WI,2012,Buffalo County,Buffalo County,Buffalo County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,3570,3364,105,7039
WI,2012,Burnett County,Burnett County,Burnett County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,3986,4550,141,8677
WI,2012,Calumet County,Calumet County,Calumet County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,11489,14539,392,26420
WI,2012,Chippewa County,Chippewa County,Chippewa County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,15237,15322,373,30932
WI,2012,Clark County,Clark County,Clark County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,6172,7412,217,13801
WI,2012,Columbia County,Columbia County,Columbia County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,17175,13026,345,30546
WI,2012,Crawford County,Crawford County,Crawford County,historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Wisconsin,4629,3067,121,7817
