ElectionId,Date,Description,Type,OfficialResults,CountyName,Name,PartyCode,PartyName,TicketCode,OfficeCode,OfficeDescription,District,DistrictName,Division,DivisionName,Votes,TotalVotes,Percentage
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Barbour,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,27,6054,0.45%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Barbour,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,4527,6054,74.78%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Barbour,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,214,6054,3.53%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Barbour,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1222,6054,20.19%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Barbour,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,64,6054,1.06%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Berkeley,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,189,42850,0.44%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Berkeley,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,28244,42850,65.91%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Berkeley,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,1623,42850,3.79%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Berkeley,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,12321,42850,28.75%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Berkeley,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,473,42850,1.10%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Boone,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,73,8683,0.84%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Boone,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,6504,8683,74.90%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Boone,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,246,8683,2.83%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Boone,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1790,8683,20.61%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Boone,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,70,8683,0.81%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Braxton,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,28,5090,0.55%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Braxton,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,3537,5090,69.49%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Braxton,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,157,5090,3.08%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Braxton,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1321,5090,25.95%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Braxton,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,47,5090,0.92%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Brooke,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,24,9613,0.25%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Brooke,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,6625,9613,68.92%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Brooke,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,297,9613,3.09%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Brooke,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,2568,9613,26.71%
