state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
WV,2012,Barbour County,Barbour County,Barbour County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,1768,3824,169,5761
WV,2012,Berkeley County,Berkeley County,Berkeley County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,14275,22156,741,37172
WV,2012,Boone County,Boone County,Boone County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2790,5467,243,8500
WV,2012,Braxton County,Braxton County,Braxton County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,1998,2725,81,4804
WV,2012,Brooke County,Brooke County,Brooke County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,4005,5060,229,9294
WV,2012,Cabell County,Cabell County,Cabell County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,13568,17985,591,32144
WV,2012,Calhoun County,Calhoun County,Calhoun County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,818,1319,70,2207
WV,2012,Clay County,Clay County,Clay County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,931,1971,110,3012
WV,2012,Doddridge County,Doddridge County,Doddridge County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,575,2130,64,2769
WV,2012,Fayette County,Fayette County,Fayette County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,5419,8350,301,14070
WV,2012,Gilmer County,Gilmer County,Gilmer County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,840,1595,74,2509
WV,2012,Grant County,Grant County,Grant County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,718,3783,85,4586
WV,2012,Greenbrier County,Greenbrier County,Greenbrier County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,4710,7930,323,12963
WV,2012,Hampshire County,Hampshire County,Hampshire County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2299,5523,164,7986
WV,2012,Hancock County,Hancock County,Hancock County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,4627,7226,265,12118
WV,2012,Hardy County,Hardy County,Hardy County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,1482,3536,150,5168
WV,2012,Harrison County,Harrison County,Harrison County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,9732,15876,539,26147
WV,2012,Jackson County,Jackson County,Jackson County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,3854,7408,282,11544
WV,2012,Jefferson County,Jefferson County,Jefferson County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,10398,11258,482,22138
WV,2012,Kanawha County,Kanawha County,Kanawha County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,32480,41364,1233,75077
WV,2012,Lewis County,Lewis County,Lewis County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,1736,4375,176,6287
WV,2012,Lincoln County,Lincoln County,Lincoln County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2227,4383,208,6818
WV,2012,Logan County,Logan County,Logan County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,3469,8222,255,11946
WV,2012,Marion County,Marion County,Marion County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,8959,12054,529,21542
WV,2012,Marshall County,Marshall County,Marshall County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,4484,8135,297,12916
WV,2012,Mason County,Mason County,Mason County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,3778,5741,270,9789
WV,2012,McDowell County,McDowell County,McDowell County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2109,3959,120,6188
WV,2012,Mercer County,Mercer County,Mercer County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,5432,15450,394,21276
WV,2012,Mineral County,Mineral County,Mineral County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2885,7833,261,10979
WV,2012,Mingo County,Mingo County,Mingo County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2428,6191,211,8830
WV,2012,Monongalia County,Monongalia County,Monongalia County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,13826,16831,818,31475
WV,2012,Monroe County,Monroe County,Monroe County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,1455,3616,141,5212
WV,2012,Morgan County,Morgan County,Morgan County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2363,4513,168,7044
WV,2012,Nicholas County,Nicholas County,Nicholas County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,2664,5898,223,8785
WV,2012,Ohio County,Ohio County,Ohio County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,6786,10768,357,17911
WV,2012,Pendleton County,Pendleton County,Pendleton County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,1074,2095,70,3239
WV,2012,Pleasants County,Pleasants County,Pleasants County,wv-historical-presidential-baseline,county,westVirginiaLegacyResultsCenterStateCountyCsv,https://apps.sos.wv.gov/elections/results/readfile.aspx?eid=13&format=csv&type=StateCountyTotals,955,1825,60,2840
